geography,variable,concept,year,estimate
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002,409860
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003,482473
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004,498540
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005,324323
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007,312187
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008,350695
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009,337585
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010,353547
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011,391325
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012,397446
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013,441496
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014,458874
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015,504280
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016,493271
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017,485391
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018,405541
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019,425353
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020,211203
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021,69213
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022,379244
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2023,533649
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2002,5500
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2003,7294
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2004,7130
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2005,4004
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2006,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2007,4523
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2008,6397
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2009,6080
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2010,5949
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2011,5978
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2012,6510
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2013,6694
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2014,6644
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2015,6622
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2016,6784
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2017,6632
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2018,6633
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2019,5851
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2020,4083
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2021,3115
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2022,6519
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2023,6864
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2002,59404
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2003,78802
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2004,79107
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2005,45228
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2006,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2007,41804
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2008,62120
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2009,59404
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2010,57828
