geography,variable,concept,year,estimate
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2011,64056
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2012,67956
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2013,70136
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2014,69044
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2015,71039
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2016,73728
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2017,69375
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2018,66743
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2019,56348
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2020,40226
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2021,30032
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2022,73157
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2023,75526
Community Transit,Bus,Transit Boardings,2002,2656692
Community Transit,Bus,Transit Boardings,2003,2638285
Community Transit,Bus,Transit Boardings,2004,2816416
Community Transit,Bus,Transit Boardings,2005,2518823
Community Transit,Bus,Transit Boardings,2006,2805046
Community Transit,Bus,Transit Boardings,2007,2945431
Community Transit,Bus,Transit Boardings,2008,3280742
Community Transit,Bus,Transit Boardings,2009,3343534
Community Transit,Bus,Transit Boardings,2010,3131402
Community Transit,Bus,Transit Boardings,2011,2857783
Community Transit,Bus,Transit Boardings,2012,2737814
Community Transit,Bus,Transit Boardings,2013,2707146
Community Transit,Bus,Transit Boardings,2014,2904640
Community Transit,Bus,Transit Boardings,2015,2966415
Community Transit,Bus,Transit Boardings,2016,3114602
Community Transit,Bus,Transit Boardings,2017,3042553
Community Transit,Bus,Transit Boardings,2018,3182723
Community Transit,Bus,Transit Boardings,2019,3167448
Community Transit,Bus,Transit Boardings,2020,2488245
Community Transit,Bus,Transit Boardings,2021,1393703
Community Transit,Bus,Transit Boardings,2022,1622247
Community Transit,Bus,Transit Boardings,2023,2043438
Community Transit,Bus,Transit Revenue-Hours,2002,116715
Community Transit,Bus,Transit Revenue-Hours,2003,127988
Community Transit,Bus,Transit Revenue-Hours,2004,144812
Community Transit,Bus,Transit Revenue-Hours,2005,123029
Community Transit,Bus,Transit Revenue-Hours,2006,179346
Community Transit,Bus,Transit Revenue-Hours,2007,164757
Community Transit,Bus,Transit Revenue-Hours,2008,168618
Community Transit,Bus,Transit Revenue-Hours,2009,170700
Community Transit,Bus,Transit Revenue-Hours,2010,184808
Community Transit,Bus,Transit Revenue-Hours,2011,152369
Community Transit,Bus,Transit Revenue-Hours,2012,127446
Community Transit,Bus,Transit Revenue-Hours,2013,117690
Community Transit,Bus,Transit Revenue-Hours,2014,123315
Community Transit,Bus,Transit Revenue-Hours,2015,128849
Community Transit,Bus,Transit Revenue-Hours,2016,144686
Community Transit,Bus,Transit Revenue-Hours,2017,161781
Community Transit,Bus,Transit Revenue-Hours,2018,171393
Community Transit,Bus,Transit Revenue-Hours,2019,180760
Community Transit,Bus,Transit Revenue-Hours,2020,182497
Community Transit,Bus,Transit Revenue-Hours,2021,169127
Community Transit,Bus,Transit Revenue-Hours,2022,163372
Community Transit,Bus,Transit Revenue-Hours,2023,154863
Community Transit,Bus,Transit Revenue-Miles,2002,2576123
Community Transit,Bus,Transit Revenue-Miles,2003,2867650
Community Transit,Bus,Transit Revenue-Miles,2004,3252826
Community Transit,Bus,Transit Revenue-Miles,2005,2683398
Community Transit,Bus,Transit Revenue-Miles,2006,2695619
Community Transit,Bus,Transit Revenue-Miles,2007,2735335
Community Transit,Bus,Transit Revenue-Miles,2008,2761103
Community Transit,Bus,Transit Revenue-Miles,2009,2806279
Community Transit,Bus,Transit Revenue-Miles,2010,3089288
Community Transit,Bus,Transit Revenue-Miles,2011,2572632
Community Transit,Bus,Transit Revenue-Miles,2012,2170038
Community Transit,Bus,Transit Revenue-Miles,2013,1958222
Community Transit,Bus,Transit Revenue-Miles,2014,2009088
Community Transit,Bus,Transit Revenue-Miles,2015,2085088
Community Transit,Bus,Transit Revenue-Miles,2016,2287174
Community Transit,Bus,Transit Revenue-Miles,2017,2466903
Community Transit,Bus,Transit Revenue-Miles,2018,2635107
Community Transit,Bus,Transit Revenue-Miles,2019,2717503
Community Transit,Bus,Transit Revenue-Miles,2020,2767979
Community Transit,Bus,Transit Revenue-Miles,2021,2659181
Community Transit,Bus,Transit Revenue-Miles,2022,2619007
Community Transit,Bus,Transit Revenue-Miles,2023,2458048
Community Transit,Vanpool,Transit Boardings,2002,242380
Community Transit,Vanpool,Transit Boardings,2003,215404
Community Transit,Vanpool,Transit Boardings,2004,188816
Community Transit,Vanpool,Transit Boardings,2005,208913
Community Transit,Vanpool,Transit Boardings,2006,252818
Community Transit,Vanpool,Transit Boardings,2007,247062
Community Transit,Vanpool,Transit Boardings,2008,291381
Community Transit,Vanpool,Transit Boardings,2009,306015
Community Transit,Vanpool,Transit Boardings,2010,293320
Community Transit,Vanpool,Transit Boardings,2011,297979
Community Transit,Vanpool,Transit Boardings,2012,316239
Community Transit,Vanpool,Transit Boardings,2013,318034
Community Transit,Vanpool,Transit Boardings,2014,318598
Community Transit,Vanpool,Transit Boardings,2015,311810
Community Transit,Vanpool,Transit Boardings,2016,300685
Community Transit,Vanpool,Transit Boardings,2017,293691
Community Transit,Vanpool,Transit Boardings,2018,287665
Community Transit,Vanpool,Transit Boardings,2019,272213
Community Transit,Vanpool,Transit Boardings,2020,152229
Community Transit,Vanpool,Transit Boardings,2021,73688
Community Transit,Vanpool,Transit Boardings,2022,81508
Community Transit,Vanpool,Transit Boardings,2023,116905
Community Transit,Vanpool,Transit Revenue-Hours,2002,21770
Community Transit,Vanpool,Transit Revenue-Hours,2003,20077
Community Transit,Vanpool,Transit Revenue-Hours,2004,17825
Community Transit,Vanpool,Transit Revenue-Hours,2005,19563
Community Transit,Vanpool,Transit Revenue-Hours,2006,23036
Community Transit,Vanpool,Transit Revenue-Hours,2007,24673
Community Transit,Vanpool,Transit Revenue-Hours,2008,29771
Community Transit,Vanpool,Transit Revenue-Hours,2009,29430
Community Transit,Vanpool,Transit Revenue-Hours,2010,27712
Community Transit,Vanpool,Transit Revenue-Hours,2011,50925
Community Transit,Vanpool,Transit Revenue-Hours,2012,50500
Community Transit,Vanpool,Transit Revenue-Hours,2013,49793
Community Transit,Vanpool,Transit Revenue-Hours,2014,50360
Community Transit,Vanpool,Transit Revenue-Hours,2015,47822
Community Transit,Vanpool,Transit Revenue-Hours,2016,48270
Community Transit,Vanpool,Transit Revenue-Hours,2017,47051
Community Transit,Vanpool,Transit Revenue-Hours,2018,48004
Community Transit,Vanpool,Transit Revenue-Hours,2019,49286
Community Transit,Vanpool,Transit Revenue-Hours,2020,33367
Community Transit,Vanpool,Transit Revenue-Hours,2021,15771
Community Transit,Vanpool,Transit Revenue-Hours,2022,17128
Community Transit,Vanpool,Transit Revenue-Hours,2023,23766
Community Transit,Vanpool,Transit Revenue-Miles,2002,6386770
Community Transit,Vanpool,Transit Revenue-Miles,2003,5750379
Community Transit,Vanpool,Transit Revenue-Miles,2004,4918817
Community Transit,Vanpool,Transit Revenue-Miles,2005,1079307
Community Transit,Vanpool,Transit Revenue-Miles,2006,1268785
Community Transit,Vanpool,Transit Revenue-Miles,2007,1340626
Community Transit,Vanpool,Transit Revenue-Miles,2008,1631619
Community Transit,Vanpool,Transit Revenue-Miles,2009,1612893
Community Transit,Vanpool,Transit Revenue-Miles,2010,1518188
Community Transit,Vanpool,Transit Revenue-Miles,2011,1550799
Community Transit,Vanpool,Transit Revenue-Miles,2012,1659721
Community Transit,Vanpool,Transit Revenue-Miles,2013,1627854
Community Transit,Vanpool,Transit Revenue-Miles,2014,1645217
Community Transit,Vanpool,Transit Revenue-Miles,2015,1579797
Community Transit,Vanpool,Transit Revenue-Miles,2016,1568527
Community Transit,Vanpool,Transit Revenue-Miles,2017,1531430
Community Transit,Vanpool,Transit Revenue-Miles,2018,1538926
Community Transit,Vanpool,Transit Revenue-Miles,2019,1555098
Community Transit,Vanpool,Transit Revenue-Miles,2020,1039977
Community Transit,Vanpool,Transit Revenue-Miles,2021,511010
Community Transit,Vanpool,Transit Revenue-Miles,2022,579851
Community Transit,Vanpool,Transit Revenue-Miles,2023,836408
Everett Transit,Bus,Transit Boardings,2002,509797
Everett Transit,Bus,Transit Boardings,2003,649886
Everett Transit,Bus,Transit Boardings,2004,653195
Everett Transit,Bus,Transit Boardings,2005,636929
Everett Transit,Bus,Transit Boardings,2006,697176
Everett Transit,Bus,Transit Boardings,2007,720297
Everett Transit,Bus,Transit Boardings,2008,792108
Everett Transit,Bus,Transit Boardings,2009,857975
Everett Transit,Bus,Transit Boardings,2010,765310
Everett Transit,Bus,Transit Boardings,2011,763452
Everett Transit,Bus,Transit Boardings,2012,775119
Everett Transit,Bus,Transit Boardings,2013,662715
Everett Transit,Bus,Transit Boardings,2014,653935
Everett Transit,Bus,Transit Boardings,2015,661890
Everett Transit,Bus,Transit Boardings,2016,663367
Everett Transit,Bus,Transit Boardings,2017,635462
Everett Transit,Bus,Transit Boardings,2018,584836
Everett Transit,Bus,Transit Boardings,2019,548179
Everett Transit,Bus,Transit Boardings,2020,369874
Everett Transit,Bus,Transit Boardings,2021,218908
Everett Transit,Bus,Transit Boardings,2022,296444
Everett Transit,Bus,Transit Boardings,2023,382048
Everett Transit,Bus,Transit Revenue-Hours,2002,29459
Everett Transit,Bus,Transit Revenue-Hours,2003,29520
Everett Transit,Bus,Transit Revenue-Hours,2004,18973
Everett Transit,Bus,Transit Revenue-Hours,2005,29547
Everett Transit,Bus,Transit Revenue-Hours,2006,24863
Everett Transit,Bus,Transit Revenue-Hours,2007,26886
Everett Transit,Bus,Transit Revenue-Hours,2008,37379
Everett Transit,Bus,Transit Revenue-Hours,2009,37628
Everett Transit,Bus,Transit Revenue-Hours,2010,42673
Everett Transit,Bus,Transit Revenue-Hours,2011,40299
Everett Transit,Bus,Transit Revenue-Hours,2012,39669
Everett Transit,Bus,Transit Revenue-Hours,2013,33188
Everett Transit,Bus,Transit Revenue-Hours,2014,32826
Everett Transit,Bus,Transit Revenue-Hours,2015,32835
Everett Transit,Bus,Transit Revenue-Hours,2016,33975
Everett Transit,Bus,Transit Revenue-Hours,2017,34920
Everett Transit,Bus,Transit Revenue-Hours,2018,34867
Everett Transit,Bus,Transit Revenue-Hours,2019,34799
Everett Transit,Bus,Transit Revenue-Hours,2020,28430
Everett Transit,Bus,Transit Revenue-Hours,2021,26913
Everett Transit,Bus,Transit Revenue-Hours,2022,30698
Everett Transit,Bus,Transit Revenue-Hours,2023,30521
Everett Transit,Bus,Transit Revenue-Miles,2002,365713
Everett Transit,Bus,Transit Revenue-Miles,2003,366159
Everett Transit,Bus,Transit Revenue-Miles,2004,313800
Everett Transit,Bus,Transit Revenue-Miles,2005,357566
Everett Transit,Bus,Transit Revenue-Miles,2006,410805
Everett Transit,Bus,Transit Revenue-Miles,2007,427739
Everett Transit,Bus,Transit Revenue-Miles,2008,454862
Everett Transit,Bus,Transit Revenue-Miles,2009,466474
Everett Transit,Bus,Transit Revenue-Miles,2010,536446
Everett Transit,Bus,Transit Revenue-Miles,2011,473821
Everett Transit,Bus,Transit Revenue-Miles,2012,479901
Everett Transit,Bus,Transit Revenue-Miles,2013,398644
Everett Transit,Bus,Transit Revenue-Miles,2014,391686
Everett Transit,Bus,Transit Revenue-Miles,2015,391686
Everett Transit,Bus,Transit Revenue-Miles,2016,405109
Everett Transit,Bus,Transit Revenue-Miles,2017,419159
Everett Transit,Bus,Transit Revenue-Miles,2018,419291
Everett Transit,Bus,Transit Revenue-Miles,2019,411260
Everett Transit,Bus,Transit Revenue-Miles,2020,327652
Everett Transit,Bus,Transit Revenue-Miles,2021,312153
Everett Transit,Bus,Transit Revenue-Miles,2022,369203
Everett Transit,Bus,Transit Revenue-Miles,2023,368524
King County Metro,Bus,Transit Boardings,2002,31480284
King County Metro,Bus,Transit Boardings,2003,31267133
King County Metro,Bus,Transit Boardings,2004,32565612
King County Metro,Bus,Transit Boardings,2005,30935397
King County Metro,Bus,Transit Boardings,2006,32646876
King County Metro,Bus,Transit Boardings,2007,35518174
King County Metro,Bus,Transit Boardings,2008,38486145
King County Metro,Bus,Transit Boardings,2009,37461161
King County Metro,Bus,Transit Boardings,2010,36459330
King County Metro,Bus,Transit Boardings,2011,36839918
King County Metro,Bus,Transit Boardings,2012,37584745
King County Metro,Bus,Transit Boardings,2013,38902938
King County Metro,Bus,Transit Boardings,2014,39699411
King County Metro,Bus,Transit Boardings,2015,40281930
King County Metro,Bus,Transit Boardings,2016,40739758
King County Metro,Bus,Transit Boardings,2017,40095797
King County Metro,Bus,Transit Boardings,2018,40526666
King County Metro,Bus,Transit Boardings,2019,40131665
King County Metro,Bus,Transit Boardings,2020,28804795
King County Metro,Bus,Transit Boardings,2021,13880347
King County Metro,Bus,Transit Boardings,2022,18957850
King County Metro,Bus,Transit Boardings,2023,23641119
King County Metro,Bus,Transit Revenue-Hours,2002,1003150
King County Metro,Bus,Transit Revenue-Hours,2003,1018545
King County Metro,Bus,Transit Revenue-Hours,2004,1044996
King County Metro,Bus,Transit Revenue-Hours,2005,819624
King County Metro,Bus,Transit Revenue-Hours,2006,955614
King County Metro,Bus,Transit Revenue-Hours,2007,992432
King County Metro,Bus,Transit Revenue-Hours,2008,1043474
King County Metro,Bus,Transit Revenue-Hours,2009,1033925
King County Metro,Bus,Transit Revenue-Hours,2010,1026332
King County Metro,Bus,Transit Revenue-Hours,2011,1023213
King County Metro,Bus,Transit Revenue-Hours,2012,1045413
King County Metro,Bus,Transit Revenue-Hours,2013,1050332
King County Metro,Bus,Transit Revenue-Hours,2014,1051421
King County Metro,Bus,Transit Revenue-Hours,2015,1035652
King County Metro,Bus,Transit Revenue-Hours,2016,1134169
King County Metro,Bus,Transit Revenue-Hours,2017,1138898
King County Metro,Bus,Transit Revenue-Hours,2018,1169433
King County Metro,Bus,Transit Revenue-Hours,2019,1194090
King County Metro,Bus,Transit Revenue-Hours,2020,1111025
King County Metro,Bus,Transit Revenue-Hours,2021,1097035
King County Metro,Bus,Transit Revenue-Hours,2022,1075178
King County Metro,Bus,Transit Revenue-Hours,2023,1030526
King County Metro,Bus,Transit Revenue-Miles,2002,12352087
King County Metro,Bus,Transit Revenue-Miles,2003,12582244
King County Metro,Bus,Transit Revenue-Miles,2004,13021068
King County Metro,Bus,Transit Revenue-Miles,2005,13589987
King County Metro,Bus,Transit Revenue-Miles,2006,11148525
King County Metro,Bus,Transit Revenue-Miles,2007,11210321
King County Metro,Bus,Transit Revenue-Miles,2008,11829858
King County Metro,Bus,Transit Revenue-Miles,2009,11698103
King County Metro,Bus,Transit Revenue-Miles,2010,11614485
King County Metro,Bus,Transit Revenue-Miles,2011,11824813
King County Metro,Bus,Transit Revenue-Miles,2012,12018831
King County Metro,Bus,Transit Revenue-Miles,2013,11948874
King County Metro,Bus,Transit Revenue-Miles,2014,11879171
King County Metro,Bus,Transit Revenue-Miles,2015,11536669
King County Metro,Bus,Transit Revenue-Miles,2016,12108366
King County Metro,Bus,Transit Revenue-Miles,2017,12069817
King County Metro,Bus,Transit Revenue-Miles,2018,12309021
King County Metro,Bus,Transit Revenue-Miles,2019,14411060
King County Metro,Bus,Transit Revenue-Miles,2020,11329264
King County Metro,Bus,Transit Revenue-Miles,2021,11415913
King County Metro,Bus,Transit Revenue-Miles,2022,11048996
King County Metro,Bus,Transit Revenue-Miles,2023,10413786
King County Metro,Ferry,Transit Boardings,2002,0
King County Metro,Ferry,Transit Boardings,2003,0
King County Metro,Ferry,Transit Boardings,2004,0
King County Metro,Ferry,Transit Boardings,2005,0
King County Metro,Ferry,Transit Boardings,2006,0
King County Metro,Ferry,Transit Boardings,2007,0
King County Metro,Ferry,Transit Boardings,2008,0
King County Metro,Ferry,Transit Boardings,2009,0
King County Metro,Ferry,Transit Boardings,2010,61047
King County Metro,Ferry,Transit Boardings,2011,72685
King County Metro,Ferry,Transit Boardings,2012,101828
King County Metro,Ferry,Transit Boardings,2013,102655
King County Metro,Ferry,Transit Boardings,2014,108831
King County Metro,Ferry,Transit Boardings,2015,116486
King County Metro,Ferry,Transit Boardings,2016,145603
King County Metro,Ferry,Transit Boardings,2017,138597
King County Metro,Ferry,Transit Boardings,2018,157038
King County Metro,Ferry,Transit Boardings,2019,215388
King County Metro,Ferry,Transit Boardings,2020,89377
King County Metro,Ferry,Transit Boardings,2021,31218
King County Metro,Ferry,Transit Boardings,2022,89268
King County Metro,Ferry,Transit Boardings,2023,88498
King County Metro,Ferry,Transit Revenue-Hours,2002,0
King County Metro,Ferry,Transit Revenue-Hours,2003,0
King County Metro,Ferry,Transit Revenue-Hours,2004,0
King County Metro,Ferry,Transit Revenue-Hours,2005,0
King County Metro,Ferry,Transit Revenue-Hours,2006,0
King County Metro,Ferry,Transit Revenue-Hours,2007,0
King County Metro,Ferry,Transit Revenue-Hours,2008,0
King County Metro,Ferry,Transit Revenue-Hours,2009,0
King County Metro,Ferry,Transit Revenue-Hours,2010,814
King County Metro,Ferry,Transit Revenue-Hours,2011,1207
King County Metro,Ferry,Transit Revenue-Hours,2012,1225
King County Metro,Ferry,Transit Revenue-Hours,2013,1255
King County Metro,Ferry,Transit Revenue-Hours,2014,1224
King County Metro,Ferry,Transit Revenue-Hours,2015,1257
King County Metro,Ferry,Transit Revenue-Hours,2016,1262
King County Metro,Ferry,Transit Revenue-Hours,2017,1205
King County Metro,Ferry,Transit Revenue-Hours,2018,1333
King County Metro,Ferry,Transit Revenue-Hours,2019,2374
King County Metro,Ferry,Transit Revenue-Hours,2020,890
King County Metro,Ferry,Transit Revenue-Hours,2021,1153
King County Metro,Ferry,Transit Revenue-Hours,2022,1880
King County Metro,Ferry,Transit Revenue-Hours,2023,1859
King County Metro,Ferry,Transit Revenue-Miles,2002,0
King County Metro,Ferry,Transit Revenue-Miles,2003,0
King County Metro,Ferry,Transit Revenue-Miles,2004,0
King County Metro,Ferry,Transit Revenue-Miles,2005,0
King County Metro,Ferry,Transit Revenue-Miles,2006,0
King County Metro,Ferry,Transit Revenue-Miles,2007,0
King County Metro,Ferry,Transit Revenue-Miles,2008,0
King County Metro,Ferry,Transit Revenue-Miles,2009,0
King County Metro,Ferry,Transit Revenue-Miles,2010,10792
King County Metro,Ferry,Transit Revenue-Miles,2011,14184
King County Metro,Ferry,Transit Revenue-Miles,2012,14942
King County Metro,Ferry,Transit Revenue-Miles,2013,15070
King County Metro,Ferry,Transit Revenue-Miles,2014,14676
King County Metro,Ferry,Transit Revenue-Miles,2015,15182
King County Metro,Ferry,Transit Revenue-Miles,2016,15266
King County Metro,Ferry,Transit Revenue-Miles,2017,14648
King County Metro,Ferry,Transit Revenue-Miles,2018,15056
King County Metro,Ferry,Transit Revenue-Miles,2019,18804
King County Metro,Ferry,Transit Revenue-Miles,2020,11988
King County Metro,Ferry,Transit Revenue-Miles,2021,14376
King County Metro,Ferry,Transit Revenue-Miles,2022,16804
King County Metro,Ferry,Transit Revenue-Miles,2023,16788
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002,74415
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003,79340
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004,87647
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005,86100
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008,110382
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009,128199
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010,139925
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2011,192255
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2012,224981
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2013,244019
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2014,223599
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2015,207609
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2016,334532
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2017,435804
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2018,501244
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2019,590500
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2020,417730
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2021,221554
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2022,359031
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2023,393636
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2002,3066
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2003,3592
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2004,3273
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2005,3245
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2006,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2007,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2008,3707
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2009,3694
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2010,3687
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2011,3697
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2012,3780
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2013,3953
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2014,4027
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2015,4019
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2016,10900
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2017,12376
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2018,14004
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2019,13849
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2020,11325
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2021,11358
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2022,11920
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2023,10134
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2002,11045
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2003,12402
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2004,12604
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2005,12493
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2006,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2007,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2008,19042
