geography,date,claims
ADAMS, 01/02/21,152
ASOTIN, 01/02/21,45
BENTON, 01/02/21,1005
CHELAN, 01/02/21,376
CLALLAM, 01/02/21,252
CLARK, 01/02/21,1466
COLUMBIA, 01/02/21,12
COWLITZ, 01/02/21,457
DOUGLAS, 01/02/21,225
FERRY, 01/02/21,31
FRANKLIN, 01/02/21,478
GARFIELD, 01/02/21,3
GRANT, 01/02/21,490
GRAYS HARBOR, 01/02/21,349
ISLAND, 01/02/21,201
JEFFERSON, 01/02/21,97
KING, 01/02/21,6367
KITSAP, 01/02/21,721
KITTITAS, 01/02/21,217
KLICKITAT, 01/02/21,76
LEWIS, 01/02/21,325
LINCOLN, 01/02/21,41
MASON, 01/02/21,230
OKANOGAN, 01/02/21,216
PACIFIC, 01/02/21,85
PEND OREILLE, 01/02/21,57
PIERCE, 01/02/21,3655
SAN JUAN, 01/02/21,62
SKAGIT, 01/02/21,476
SKAMANIA, 01/02/21,56
SNOHOMISH, 01/02/21,2946
SPOKANE, 01/02/21,2144
STEVENS, 01/02/21,190
THURSTON, 01/02/21,1042
WAHKIAKUM, 01/02/21,11
WALLA WALLA, 01/02/21,187
WHATCOM, 01/02/21,949
WHITMAN, 01/02/21,76
YAKIMA, 01/02/21,1699
ADAMS, 01/09/21,105
ASOTIN, 01/09/21,29
BENTON, 01/09/21,690
CHELAN, 01/09/21,330
CLALLAM, 01/09/21,221
CLARK, 01/09/21,1348
COLUMBIA, 01/09/21,16
COWLITZ, 01/09/21,425
DOUGLAS, 01/09/21,164
FERRY, 01/09/21,24
FRANKLIN, 01/09/21,355
GARFIELD, 01/09/21,3
GRANT, 01/09/21,383
GRAYS HARBOR, 01/09/21,332
ISLAND, 01/09/21,195
JEFFERSON, 01/09/21,115
KING, 01/09/21,6598
KITSAP, 01/09/21,764
KITTITAS, 01/09/21,179
KLICKITAT, 01/09/21,58
LEWIS, 01/09/21,327
LINCOLN, 01/09/21,23
MASON, 01/09/21,228
OKANOGAN, 01/09/21,174
PACIFIC, 01/09/21,108
PEND OREILLE, 01/09/21,51
PIERCE, 01/09/21,3257
SAN JUAN, 01/09/21,56
SKAGIT, 01/09/21,452
SKAMANIA, 01/09/21,44
SNOHOMISH, 01/09/21,2811
SPOKANE, 01/09/21,1880
STEVENS, 01/09/21,168
THURSTON, 01/09/21,911
WAHKIAKUM, 01/09/21,15
WALLA WALLA, 01/09/21,163
WHATCOM, 01/09/21,854
WHITMAN, 01/09/21,78
YAKIMA, 01/09/21,1210
ADAMS, 01/16/21,52
ASOTIN, 01/16/21,28
BENTON, 01/16/21,506
CHELAN, 01/16/21,246
CLALLAM, 01/16/21,162
CLARK, 01/16/21,953
COLUMBIA, 01/16/21,12
COWLITZ, 01/16/21,255
DOUGLAS, 01/16/21,118
FERRY, 01/16/21,21
FRANKLIN, 01/16/21,243
GARFIELD, 01/16/21,3
GRANT, 01/16/21,252
GRAYS HARBOR, 01/16/21,252
ISLAND, 01/16/21,127
JEFFERSON, 01/16/21,60
KING, 01/16/21,4809
KITSAP, 01/16/21,528
KITTITAS, 01/16/21,132
KLICKITAT, 01/16/21,38
LEWIS, 01/16/21,223
LINCOLN, 01/16/21,18
MASON, 01/16/21,147
OKANOGAN, 01/16/21,109
PACIFIC, 01/16/21,46
PEND OREILLE, 01/16/21,27
PIERCE, 01/16/21,2312
SAN JUAN, 01/16/21,58
SKAGIT, 01/16/21,309
SKAMANIA, 01/16/21,52
SNOHOMISH, 01/16/21,2029
SPOKANE, 01/16/21,1298
STEVENS, 01/16/21,90
THURSTON, 01/16/21,658
WAHKIAKUM, 01/16/21,11
WALLA WALLA, 01/16/21,113
WHATCOM, 01/16/21,582
WHITMAN, 01/16/21,54
YAKIMA, 01/16/21,792
ADAMS, 01/23/21,44
ASOTIN, 01/23/21,24
BENTON, 01/23/21,447
CHELAN, 01/23/21,215
CLALLAM, 01/23/21,124
CLARK, 01/23/21,745
COLUMBIA, 01/23/21,14
COWLITZ, 01/23/21,257
DOUGLAS, 01/23/21,115
FERRY, 01/23/21,11
FRANKLIN, 01/23/21,215
GARFIELD, 01/23/21,0
GRANT, 01/23/21,205
GRAYS HARBOR, 01/23/21,219
ISLAND, 01/23/21,132
JEFFERSON, 01/23/21,55
KING, 01/23/21,4019
KITSAP, 01/23/21,406
KITTITAS, 01/23/21,94
KLICKITAT, 01/23/21,27
LEWIS, 01/23/21,202
LINCOLN, 01/23/21,18
MASON, 01/23/21,141
OKANOGAN, 01/23/21,94
PACIFIC, 01/23/21,54
PEND OREILLE, 01/23/21,30
PIERCE, 01/23/21,2088
SAN JUAN, 01/23/21,26
SKAGIT, 01/23/21,251
SKAMANIA, 01/23/21,26
SNOHOMISH, 01/23/21,1698
SPOKANE, 01/23/21,1135
STEVENS, 01/23/21,96
THURSTON, 01/23/21,564
WAHKIAKUM, 01/23/21,9
