geography,date,claims
WALLA WALLA, 01/23/21,97
WHATCOM, 01/23/21,528
WHITMAN, 01/23/21,40
YAKIMA, 01/23/21,689
ADAMS, 01/30/21,43
ASOTIN, 01/30/21,27
BENTON, 01/30/21,426
CHELAN, 01/30/21,199
CLALLAM, 01/30/21,104
CLARK, 01/30/21,770
COLUMBIA, 01/30/21,7
COWLITZ, 01/30/21,266
DOUGLAS, 01/30/21,84
FERRY, 01/30/21,13
FRANKLIN, 01/30/21,197
GARFIELD, 01/30/21,6
GRANT, 01/30/21,261
GRAYS HARBOR, 01/30/21,187
ISLAND, 01/30/21,120
JEFFERSON, 01/30/21,60
KING, 01/30/21,3790
KITSAP, 01/30/21,447
KITTITAS, 01/30/21,92
KLICKITAT, 01/30/21,36
LEWIS, 01/30/21,200
LINCOLN, 01/30/21,18
MASON, 01/30/21,130
OKANOGAN, 01/30/21,101
PACIFIC, 01/30/21,44
PEND OREILLE, 01/30/21,40
PIERCE, 01/30/21,2025
SAN JUAN, 01/30/21,20
SKAGIT, 01/30/21,251
SKAMANIA, 01/30/21,17
SNOHOMISH, 01/30/21,1703
SPOKANE, 01/30/21,1088
STEVENS, 01/30/21,80
THURSTON, 01/30/21,596
WAHKIAKUM, 01/30/21,4
WALLA WALLA, 01/30/21,79
WHATCOM, 01/30/21,530
WHITMAN, 01/30/21,37
YAKIMA, 01/30/21,719
ADAMS, 02/06/21,44
ASOTIN, 02/06/21,11
BENTON, 02/06/21,428
CHELAN, 02/06/21,230
CLALLAM, 02/06/21,110
CLARK, 02/06/21,778
COLUMBIA, 02/06/21,6
COWLITZ, 02/06/21,282
DOUGLAS, 02/06/21,104
FERRY, 02/06/21,11
FRANKLIN, 02/06/21,225
GARFIELD, 02/06/21,0
GRANT, 02/06/21,181
GRAYS HARBOR, 02/06/21,184
ISLAND, 02/06/21,118
JEFFERSON, 02/06/21,45
KING, 02/06/21,3697
KITSAP, 02/06/21,403
KITTITAS, 02/06/21,99
KLICKITAT, 02/06/21,38
LEWIS, 02/06/21,163
LINCOLN, 02/06/21,19
MASON, 02/06/21,124
OKANOGAN, 02/06/21,112
PACIFIC, 02/06/21,46
PEND OREILLE, 02/06/21,26
PIERCE, 02/06/21,2077
SAN JUAN, 02/06/21,21
SKAGIT, 02/06/21,285
SKAMANIA, 02/06/21,15
SNOHOMISH, 02/06/21,1555
SPOKANE, 02/06/21,1019
STEVENS, 02/06/21,74
THURSTON, 02/06/21,521
WAHKIAKUM, 02/06/21,13
WALLA WALLA, 02/06/21,70
WHATCOM, 02/06/21,511
WHITMAN, 02/06/21,40
YAKIMA, 02/06/21,669
ADAMS, 02/13/21,51
ASOTIN, 02/13/21,10
BENTON, 02/13/21,368
CHELAN, 02/13/21,137
CLALLAM, 02/13/21,103
CLARK, 02/13/21,632
COLUMBIA, 02/13/21,10
COWLITZ, 02/13/21,214
DOUGLAS, 02/13/21,76
FERRY, 02/13/21,8
FRANKLIN, 02/13/21,183
GARFIELD, 02/13/21,1
GRANT, 02/13/21,154
GRAYS HARBOR, 02/13/21,198
ISLAND, 02/13/21,98
JEFFERSON, 02/13/21,37
KING, 02/13/21,3224
KITSAP, 02/13/21,377
KITTITAS, 02/13/21,72
KLICKITAT, 02/13/21,22
LEWIS, 02/13/21,154
LINCOLN, 02/13/21,20
MASON, 02/13/21,110
OKANOGAN, 02/13/21,103
PACIFIC, 02/13/21,27
PEND OREILLE, 02/13/21,26
PIERCE, 02/13/21,1769
SAN JUAN, 02/13/21,22
SKAGIT, 02/13/21,228
SKAMANIA, 02/13/21,21
SNOHOMISH, 02/13/21,1387
SPOKANE, 02/13/21,974
STEVENS, 02/13/21,74
THURSTON, 02/13/21,500
WAHKIAKUM, 02/13/21,4
WALLA WALLA, 02/13/21,77
WHATCOM, 02/13/21,432
WHITMAN, 02/13/21,57
YAKIMA, 02/13/21,599
ADAMS, 02/20/21,29
ASOTIN, 02/20/21,36
BENTON, 02/20/21,543
CHELAN, 02/20/21,181
CLALLAM, 02/20/21,142
CLARK, 02/20/21,701
COLUMBIA, 02/20/21,22
COWLITZ, 02/20/21,233
DOUGLAS, 02/20/21,65
FERRY, 02/20/21,13
FRANKLIN, 02/20/21,277
GARFIELD, 02/20/21,5
GRANT, 02/20/21,191
GRAYS HARBOR, 02/20/21,165
ISLAND, 02/20/21,100
JEFFERSON, 02/20/21,51
KING, 02/20/21,3075
KITSAP, 02/20/21,331
KITTITAS, 02/20/21,83
KLICKITAT, 02/20/21,22
LEWIS, 02/20/21,184
LINCOLN, 02/20/21,9
MASON, 02/20/21,107
OKANOGAN, 02/20/21,101
PACIFIC, 02/20/21,40
PEND OREILLE, 02/20/21,26
PIERCE, 02/20/21,1817
SAN JUAN, 02/20/21,19
SKAGIT, 02/20/21,246
SKAMANIA, 02/20/21,20
SNOHOMISH, 02/20/21,1410
SPOKANE, 02/20/21,870
STEVENS, 02/20/21,71
THURSTON, 02/20/21,537
WAHKIAKUM, 02/20/21,4
WALLA WALLA, 02/20/21,92
WHATCOM, 02/20/21,464
WHITMAN, 02/20/21,39
YAKIMA, 02/20/21,720
ADAMS, 02/27/21,31
ASOTIN, 02/27/21,12
BENTON, 02/27/21,403
CHELAN, 02/27/21,149
CLALLAM, 02/27/21,99
CLARK, 02/27/21,602
COLUMBIA, 02/27/21,13
COWLITZ, 02/27/21,202
DOUGLAS, 02/27/21,79
FERRY, 02/27/21,11
FRANKLIN, 02/27/21,188
GARFIELD, 02/27/21,2
GRANT, 02/27/21,170
GRAYS HARBOR, 02/27/21,144
ISLAND, 02/27/21,102
JEFFERSON, 02/27/21,35
KING, 02/27/21,3004
KITSAP, 02/27/21,301
KITTITAS, 02/27/21,72
KLICKITAT, 02/27/21,28
LEWIS, 02/27/21,136
LINCOLN, 02/27/21,15
MASON, 02/27/21,108
OKANOGAN, 02/27/21,63
PACIFIC, 02/27/21,24
PEND OREILLE, 02/27/21,21
PIERCE, 02/27/21,1634
SAN JUAN, 02/27/21,24
SKAGIT, 02/27/21,232
SKAMANIA, 02/27/21,17
SNOHOMISH, 02/27/21,1460
SPOKANE, 02/27/21,875
STEVENS, 02/27/21,58
THURSTON, 02/27/21,450
WAHKIAKUM, 02/27/21,6
WALLA WALLA, 02/27/21,94
WHATCOM, 02/27/21,357
WHITMAN, 02/27/21,46
YAKIMA, 02/27/21,568
ADAMS, 03/06/21,33
ASOTIN, 03/06/21,13
BENTON, 03/06/21,273
CHELAN, 03/06/21,128
CLALLAM, 03/06/21,97
CLARK, 03/06/21,503
COLUMBIA, 03/06/21,6
COWLITZ, 03/06/21,162
DOUGLAS, 03/06/21,57
FERRY, 03/06/21,10
FRANKLIN, 03/06/21,221
GARFIELD, 03/06/21,2
GRANT, 03/06/21,152
GRAYS HARBOR, 03/06/21,124
ISLAND, 03/06/21,82
JEFFERSON, 03/06/21,30
KING, 03/06/21,2957
KITSAP, 03/06/21,310
KITTITAS, 03/06/21,66
KLICKITAT, 03/06/21,24
LEWIS, 03/06/21,137
LINCOLN, 03/06/21,7
MASON, 03/06/21,90
OKANOGAN, 03/06/21,63
PACIFIC, 03/06/21,28
PEND OREILLE, 03/06/21,25
PIERCE, 03/06/21,1477
SAN JUAN, 03/06/21,17
SKAGIT, 03/06/21,197
SKAMANIA, 03/06/21,13
SNOHOMISH, 03/06/21,1234
SPOKANE, 03/06/21,814
STEVENS, 03/06/21,73
THURSTON, 03/06/21,390
WAHKIAKUM, 03/06/21,5
WALLA WALLA, 03/06/21,52
WHATCOM, 03/06/21,374
WHITMAN, 03/06/21,28
YAKIMA, 03/06/21,451
ADAMS, 03/13/21,26
ASOTIN, 03/13/21,17
BENTON, 03/13/21,291
CHELAN, 03/13/21,139
CLALLAM, 03/13/21,102
CLARK, 03/13/21,589
COLUMBIA, 03/13/21,8
COWLITZ, 03/13/21,198
DOUGLAS, 03/13/21,69
FERRY, 03/13/21,10
FRANKLIN, 03/13/21,179
GARFIELD, 03/13/21,3
GRANT, 03/13/21,158
GRAYS HARBOR, 03/13/21,139
ISLAND, 03/13/21,86
JEFFERSON, 03/13/21,40
KING, 03/13/21,2887
KITSAP, 03/13/21,305
KITTITAS, 03/13/21,63
KLICKITAT, 03/13/21,21
LEWIS, 03/13/21,119
LINCOLN, 03/13/21,13
MASON, 03/13/21,115
OKANOGAN, 03/13/21,58
PACIFIC, 03/13/21,36
PEND OREILLE, 03/13/21,15
PIERCE, 03/13/21,1473
SAN JUAN, 03/13/21,14
SKAGIT, 03/13/21,205
SKAMANIA, 03/13/21,15
SNOHOMISH, 03/13/21,1272
SPOKANE, 03/13/21,708
STEVENS, 03/13/21,78
THURSTON, 03/13/21,414
WAHKIAKUM, 03/13/21,8
WALLA WALLA, 03/13/21,50
WHATCOM, 03/13/21,332
WHITMAN, 03/13/21,42
YAKIMA, 03/13/21,448
ADAMS, 03/20/21,25
ASOTIN, 03/20/21,15
BENTON, 03/20/21,306
CHELAN, 03/20/21,154
CLALLAM, 03/20/21,88
CLARK, 03/20/21,524
COLUMBIA, 03/20/21,6
COWLITZ, 03/20/21,197
DOUGLAS, 03/20/21,63
FERRY, 03/20/21,12
FRANKLIN, 03/20/21,124
GARFIELD, 03/20/21,2
GRANT, 03/20/21,163
GRAYS HARBOR, 03/20/21,135
ISLAND, 03/20/21,74
JEFFERSON, 03/20/21,49
KING, 03/20/21,2910
KITSAP, 03/20/21,316
KITTITAS, 03/20/21,60
KLICKITAT, 03/20/21,21
LEWIS, 03/20/21,121
LINCOLN, 03/20/21,8
MASON, 03/20/21,94
OKANOGAN, 03/20/21,63
PACIFIC, 03/20/21,33
PEND OREILLE, 03/20/21,15
PIERCE, 03/20/21,1421
SAN JUAN, 03/20/21,16
SKAGIT, 03/20/21,203
SKAMANIA, 03/20/21,11
SNOHOMISH, 03/20/21,1206
SPOKANE, 03/20/21,666
STEVENS, 03/20/21,76
THURSTON, 03/20/21,396
WAHKIAKUM, 03/20/21,5
WALLA WALLA, 03/20/21,60
WHATCOM, 03/20/21,323
WHITMAN, 03/20/21,33
YAKIMA, 03/20/21,471
ADAMS, 03/27/21,17
ASOTIN, 03/27/21,22
BENTON, 03/27/21,300
CHELAN, 03/27/21,168
CLALLAM, 03/27/21,80
CLARK, 03/27/21,619
COLUMBIA, 03/27/21,15
COWLITZ, 03/27/21,212
DOUGLAS, 03/27/21,76
FERRY, 03/27/21,8
FRANKLIN, 03/27/21,128
GARFIELD, 03/27/21,2
GRANT, 03/27/21,116
GRAYS HARBOR, 03/27/21,131
ISLAND, 03/27/21,73
JEFFERSON, 03/27/21,35
KING, 03/27/21,2845
KITSAP, 03/27/21,299
KITTITAS, 03/27/21,64
KLICKITAT, 03/27/21,23
LEWIS, 03/27/21,118
LINCOLN, 03/27/21,7
MASON, 03/27/21,76
OKANOGAN, 03/27/21,68
PACIFIC, 03/27/21,26
PEND OREILLE, 03/27/21,17
PIERCE, 03/27/21,1540
SAN JUAN, 03/27/21,10
SKAGIT, 03/27/21,194
SKAMANIA, 03/27/21,12
SNOHOMISH, 03/27/21,1163
SPOKANE, 03/27/21,682
STEVENS, 03/27/21,64
THURSTON, 03/27/21,393
WAHKIAKUM, 03/27/21,4
WALLA WALLA, 03/27/21,55
WHATCOM, 03/27/21,347
WHITMAN, 03/27/21,30
YAKIMA, 03/27/21,458
ADAMS, 04/03/21,21
ASOTIN, 04/03/21,19
BENTON, 04/03/21,339
CHELAN, 04/03/21,130
CLALLAM, 04/03/21,98
CLARK, 04/03/21,525
COLUMBIA, 04/03/21,18
COWLITZ, 04/03/21,230
DOUGLAS, 04/03/21,60
FERRY, 04/03/21,5
FRANKLIN, 04/03/21,138
GARFIELD, 04/03/21,3
GRANT, 04/03/21,134
GRAYS HARBOR, 04/03/21,162
ISLAND, 04/03/21,84
JEFFERSON, 04/03/21,36
KING, 04/03/21,2939
KITSAP, 04/03/21,277
KITTITAS, 04/03/21,71
KLICKITAT, 04/03/21,28
LEWIS, 04/03/21,137
LINCOLN, 04/03/21,14
MASON, 04/03/21,101
OKANOGAN, 04/03/21,73
PACIFIC, 04/03/21,40
PEND OREILLE, 04/03/21,13
PIERCE, 04/03/21,1549
SAN JUAN, 04/03/21,13
SKAGIT, 04/03/21,212
SKAMANIA, 04/03/21,15
SNOHOMISH, 04/03/21,1193
SPOKANE, 04/03/21,713
STEVENS, 04/03/21,70
THURSTON, 04/03/21,461
WAHKIAKUM, 04/03/21,4
WALLA WALLA, 04/03/21,61
WHATCOM, 04/03/21,325
WHITMAN, 04/03/21,39
YAKIMA, 04/03/21,501
ADAMS, 04/10/21,44
ASOTIN, 04/10/21,22
BENTON, 04/10/21,391
CHELAN, 04/10/21,220
CLALLAM, 04/10/21,174
CLARK, 04/10/21,883
COLUMBIA, 04/10/21,32
COWLITZ, 04/10/21,349
DOUGLAS, 04/10/21,104
FERRY, 04/10/21,9
FRANKLIN, 04/10/21,185
GARFIELD, 04/10/21,3
GRANT, 04/10/21,192
GRAYS HARBOR, 04/10/21,259
ISLAND, 04/10/21,135
JEFFERSON, 04/10/21,64
KING, 04/10/21,4218
KITSAP, 04/10/21,479
KITTITAS, 04/10/21,84
KLICKITAT, 04/10/21,33
LEWIS, 04/10/21,215
LINCOLN, 04/10/21,14
MASON, 04/10/21,142
OKANOGAN, 04/10/21,92
PACIFIC, 04/10/21,65
PEND OREILLE, 04/10/21,32
PIERCE, 04/10/21,2093
SAN JUAN, 04/10/21,28
SKAGIT, 04/10/21,284
SKAMANIA, 04/10/21,19
SNOHOMISH, 04/10/21,1707
SPOKANE, 04/10/21,1039
STEVENS, 04/10/21,112
THURSTON, 04/10/21,649
WAHKIAKUM, 04/10/21,10
WALLA WALLA, 04/10/21,100
WHATCOM, 04/10/21,458
WHITMAN, 04/10/21,60
YAKIMA, 04/10/21,757
ADAMS, 04/17/21,24
ASOTIN, 04/17/21,16
BENTON, 04/17/21,341
CHELAN, 04/17/21,147
CLALLAM, 04/17/21,114
CLARK, 04/17/21,655
COLUMBIA, 04/17/21,19
COWLITZ, 04/17/21,236
DOUGLAS, 04/17/21,77
FERRY, 04/17/21,8
FRANKLIN, 04/17/21,145
GARFIELD, 04/17/21,8
GRANT, 04/17/21,150
GRAYS HARBOR, 04/17/21,126
ISLAND, 04/17/21,103
JEFFERSON, 04/17/21,32
KING, 04/17/21,3201
KITSAP, 04/17/21,327
KITTITAS, 04/17/21,73
KLICKITAT, 04/17/21,27
LEWIS, 04/17/21,148
LINCOLN, 04/17/21,10
MASON, 04/17/21,118
OKANOGAN, 04/17/21,63
PACIFIC, 04/17/21,32
PEND OREILLE, 04/17/21,21
PIERCE, 04/17/21,1775
SAN JUAN, 04/17/21,15
SKAGIT, 04/17/21,211
SKAMANIA, 04/17/21,25
SNOHOMISH, 04/17/21,1407
SPOKANE, 04/17/21,743
STEVENS, 04/17/21,64
THURSTON, 04/17/21,427
WAHKIAKUM, 04/17/21,5
WALLA WALLA, 04/17/21,60
WHATCOM, 04/17/21,347
WHITMAN, 04/17/21,35
YAKIMA, 04/17/21,547
ADAMS, 04/24/21,30
ASOTIN, 04/24/21,11
BENTON, 04/24/21,272
CHELAN, 04/24/21,134
CLALLAM, 04/24/21,81
CLARK, 04/24/21,541
COLUMBIA, 04/24/21,13
COWLITZ, 04/24/21,204
DOUGLAS, 04/24/21,59
FERRY, 04/24/21,13
FRANKLIN, 04/24/21,131
GARFIELD, 04/24/21,3
GRANT, 04/24/21,132
GRAYS HARBOR, 04/24/21,155
ISLAND, 04/24/21,85
JEFFERSON, 04/24/21,44
KING, 04/24/21,2753
KITSAP, 04/24/21,333
KITTITAS, 04/24/21,62
KLICKITAT, 04/24/21,29
LEWIS, 04/24/21,148
LINCOLN, 04/24/21,9
MASON, 04/24/21,123
OKANOGAN, 04/24/21,44
PACIFIC, 04/24/21,41
PEND OREILLE, 04/24/21,15
PIERCE, 04/24/21,1641
SAN JUAN, 04/24/21,20
SKAGIT, 04/24/21,177
SKAMANIA, 04/24/21,8
SNOHOMISH, 04/24/21,1241
SPOKANE, 04/24/21,665
STEVENS, 04/24/21,63
THURSTON, 04/24/21,439
WAHKIAKUM, 04/24/21,3
WALLA WALLA, 04/24/21,50
WHATCOM, 04/24/21,315
WHITMAN, 04/24/21,33
YAKIMA, 04/24/21,495
ADAMS, 05/01/21,20
ASOTIN, 05/01/21,11
BENTON, 05/01/21,268
CHELAN, 05/01/21,133
CLALLAM, 05/01/21,93
CLARK, 05/01/21,521
COLUMBIA, 05/01/21,10
COWLITZ, 05/01/21,209
DOUGLAS, 05/01/21,59
FERRY, 05/01/21,9
FRANKLIN, 05/01/21,138
GARFIELD, 05/01/21,0
GRANT, 05/01/21,121
GRAYS HARBOR, 05/01/21,131
ISLAND, 05/01/21,83
JEFFERSON, 05/01/21,22
KING, 05/01/21,2466
KITSAP, 05/01/21,279
KITTITAS, 05/01/21,45
KLICKITAT, 05/01/21,22
LEWIS, 05/01/21,118
LINCOLN, 05/01/21,3
MASON, 05/01/21,91
OKANOGAN, 05/01/21,63
PACIFIC, 05/01/21,41
PEND OREILLE, 05/01/21,19
PIERCE, 05/01/21,1429
SAN JUAN, 05/01/21,10
SKAGIT, 05/01/21,184
SKAMANIA, 05/01/21,16
SNOHOMISH, 05/01/21,1102
SPOKANE, 05/01/21,638
STEVENS, 05/01/21,53
THURSTON, 05/01/21,369
WAHKIAKUM, 05/01/21,4
WALLA WALLA, 05/01/21,45
WHATCOM, 05/01/21,282
WHITMAN, 05/01/21,35
YAKIMA, 05/01/21,481
ADAMS, 05/08/21,58
ASOTIN, 05/08/21,46
BENTON, 05/08/21,402
CHELAN, 05/08/21,202
CLALLAM, 05/08/21,146
CLARK, 05/08/21,917
COLUMBIA, 05/08/21,93
COWLITZ, 05/08/21,339
DOUGLAS, 05/08/21,114
FERRY, 05/08/21,15
FRANKLIN, 05/08/21,217
GARFIELD, 05/08/21,5
GRANT, 05/08/21,182
GRAYS HARBOR, 05/08/21,210
ISLAND, 05/08/21,121
JEFFERSON, 05/08/21,53
KING, 05/08/21,3626
KITSAP, 05/08/21,505
KITTITAS, 05/08/21,94
KLICKITAT, 05/08/21,47
LEWIS, 05/08/21,184
LINCOLN, 05/08/21,18
MASON, 05/08/21,128
OKANOGAN, 05/08/21,98
PACIFIC, 05/08/21,50
PEND OREILLE, 05/08/21,30
PIERCE, 05/08/21,2050
SAN JUAN, 05/08/21,21
SKAGIT, 05/08/21,275
SKAMANIA, 05/08/21,16
SNOHOMISH, 05/08/21,1446
SPOKANE, 05/08/21,1119
STEVENS, 05/08/21,91
THURSTON, 05/08/21,579
WAHKIAKUM, 05/08/21,4
WALLA WALLA, 05/08/21,99
WHATCOM, 05/08/21,406
WHITMAN, 05/08/21,59
YAKIMA, 05/08/21,639
ADAMS, 05/15/21,62
ASOTIN, 05/15/21,53
BENTON, 05/15/21,467
CHELAN, 05/15/21,213
CLALLAM, 05/15/21,161
CLARK, 05/15/21,956
COLUMBIA, 05/15/21,69
COWLITZ, 05/15/21,389
DOUGLAS, 05/15/21,102
FERRY, 05/15/21,15
FRANKLIN, 05/15/21,190
GARFIELD, 05/15/21,10
GRANT, 05/15/21,217
GRAYS HARBOR, 05/15/21,266
ISLAND, 05/15/21,176
JEFFERSON, 05/15/21,55
KING, 05/15/21,4514
KITSAP, 05/15/21,581
KITTITAS, 05/15/21,121
KLICKITAT, 05/15/21,54
LEWIS, 05/15/21,214
LINCOLN, 05/15/21,19
MASON, 05/15/21,127
OKANOGAN, 05/15/21,95
PACIFIC, 05/15/21,53
PEND OREILLE, 05/15/21,28
PIERCE, 05/15/21,2358
SAN JUAN, 05/15/21,28
SKAGIT, 05/15/21,324
SKAMANIA, 05/15/21,29
SNOHOMISH, 05/15/21,1805
SPOKANE, 05/15/21,1373
STEVENS, 05/15/21,107
THURSTON, 05/15/21,685
WAHKIAKUM, 05/15/21,14
WALLA WALLA, 05/15/21,114
WHATCOM, 05/15/21,511
WHITMAN, 05/15/21,92
YAKIMA, 05/15/21,750
ADAMS, 05/22/21,38
ASOTIN, 05/22/21,17
BENTON, 05/22/21,293
CHELAN, 05/22/21,126
CLALLAM, 05/22/21,108
CLARK, 05/22/21,559
COLUMBIA, 05/22/21,22
COWLITZ, 05/22/21,224
DOUGLAS, 05/22/21,69
FERRY, 05/22/21,5
FRANKLIN, 05/22/21,153
GARFIELD, 05/22/21,3
GRANT, 05/22/21,128
GRAYS HARBOR, 05/22/21,134
ISLAND, 05/22/21,80
JEFFERSON, 05/22/21,37
KING, 05/22/21,2666
KITSAP, 05/22/21,309
KITTITAS, 05/22/21,72
KLICKITAT, 05/22/21,26
LEWIS, 05/22/21,144
LINCOLN, 05/22/21,14
MASON, 05/22/21,90
OKANOGAN, 05/22/21,57
PACIFIC, 05/22/21,34
PEND OREILLE, 05/22/21,16
PIERCE, 05/22/21,1439
SAN JUAN, 05/22/21,11
SKAGIT, 05/22/21,221
SKAMANIA, 05/22/21,15
SNOHOMISH, 05/22/21,1081
SPOKANE, 05/22/21,774
STEVENS, 05/22/21,62
THURSTON, 05/22/21,363
WAHKIAKUM, 05/22/21,8
WALLA WALLA, 05/22/21,72
WHATCOM, 05/22/21,372
WHITMAN, 05/22/21,53
YAKIMA, 05/22/21,559
ADAMS, 05/29/21,34
ASOTIN, 05/29/21,28
BENTON, 05/29/21,285
CHELAN, 05/29/21,104
CLALLAM, 05/29/21,76
CLARK, 05/29/21,492
COLUMBIA, 05/29/21,14
COWLITZ, 05/29/21,174
DOUGLAS, 05/29/21,53
FERRY, 05/29/21,6
FRANKLIN, 05/29/21,170
GARFIELD, 05/29/21,0
GRANT, 05/29/21,129
GRAYS HARBOR, 05/29/21,125
ISLAND, 05/29/21,69
JEFFERSON, 05/29/21,26
KING, 05/29/21,2273
KITSAP, 05/29/21,270
KITTITAS, 05/29/21,60
KLICKITAT, 05/29/21,27
LEWIS, 05/29/21,130
LINCOLN, 05/29/21,8
MASON, 05/29/21,58
OKANOGAN, 05/29/21,56
PACIFIC, 05/29/21,27
PEND OREILLE, 05/29/21,13
PIERCE, 05/29/21,1250
SAN JUAN, 05/29/21,9
SKAGIT, 05/29/21,188
SKAMANIA, 05/29/21,10
SNOHOMISH, 05/29/21,950
SPOKANE, 05/29/21,629
STEVENS, 05/29/21,45
THURSTON, 05/29/21,365
WAHKIAKUM, 05/29/21,12
WALLA WALLA, 05/29/21,50
WHATCOM, 05/29/21,365
WHITMAN, 05/29/21,45
YAKIMA, 05/29/21,475
ADAMS, 06/05/21,37
ASOTIN, 06/05/21,12
BENTON, 06/05/21,269
CHELAN, 06/05/21,83
CLALLAM, 06/05/21,102
CLARK, 06/05/21,455
COLUMBIA, 06/05/21,11
COWLITZ, 06/05/21,164
DOUGLAS, 06/05/21,48
FERRY, 06/05/21,9
FRANKLIN, 06/05/21,158
GARFIELD, 06/05/21,0
GRANT, 06/05/21,150
