year,geography,grouping,variable,estimate,count_moe,share,share_moe
2019,Region,American Indian or Alaskan Native Alone,Auto,10903,2245.550600974347,0.7957232520799883,0.09050580950867335
2019,Region,American Indian or Alaskan Native Alone,Bike or Walk,1009,750.3276705405112,0.07363888483433076,0.05280648964331062
2019,Region,American Indian or Alaskan Native Alone,Other,38,64.99831944942883,0.0027733177638300977,0.004737613417216389
2019,Region,American Indian or Alaskan Native Alone,Transit,923,685.2881252801627,0.06736242884250475,0.05150110380901527
2019,Region,American Indian or Alaskan Native Alone,Worked from Home,829,533.1769574353341,0.06050211647934608,0.040528066543964535
2019,Region,Asian alone,Auto,240856,9182.394088923309,0.7313226636060277,0.017038460957882313
2019,Region,Asian alone,Bike or Walk,19349,3053.208785279636,0.058750299839377185,0.009259159356042093
2019,Region,Asian alone,Other,2636,1206.3727254553214,0.008003813653242972,0.0036948833895137775
2019,Region,Asian alone,Transit,50771,4532.409530847114,0.154158430572382,0.013811872884506424
2019,Region,Asian alone,Worked from Home,15731,2259.6679183740143,0.0477647923289701,0.007047247026288488
2019,Region,Black or African American alone,Auto,98198,5517.210228574764,0.7740231896395438,0.030181010912224034
2019,Region,Black or African American alone,Bike or Walk,7128,2164.376141997389,0.05618482347655419,0.01678275821832768
2019,Region,Black or African American alone,Other,1788,1142.7063868362031,0.014093499491593558,0.009047692861210219
2019,Region,Black or African American alone,Transit,14350,2899.4433037160343,0.11311058037157022,0.021514254728351643
2019,Region,Black or African American alone,Worked from Home,5403,1520.257078912149,0.04258790702073825,0.012025092944549665
2019,Region,Hispanic or Latino,Auto,181028,5995.85525119801,0.818224140658546,0.017746076017466143
2019,Region,Hispanic or Latino,Bike or Walk,9839,2159.7281054021014,0.0444710614929151,0.009730627514903792
2019,Region,Hispanic or Latino,Other,972,921.5889163402793,0.004393319623042328,0.004152932694200214
2019,Region,Hispanic or Latino,Transit,20590,2758.460152129037,0.09306425003954892,0.012241381156879462
2019,Region,Hispanic or Latino,Worked from Home,8816,2235.9152005621772,0.03984722818594771,0.01009017785878333
2019,Region,Native Hawaiian and Other Pacific Islander alone,Auto,16730,2425.7072332808943,0.9303230829116388,0.03597774297095329
2019,Region,Native Hawaiian and Other Pacific Islander alone,Bike or Walk,96,153.18209615519694,0.005338375132069176,0.0084779532460093
2019,Region,Native Hawaiian and Other Pacific Islander alone,Other,176,270.37065067699194,0.009787021075460157,0.014904943396657643
2019,Region,Native Hawaiian and Other Pacific Islander alone,Transit,479,426.4847697280643,0.026636267586053496,0.02399501896016168
2019,Region,Native Hawaiian and Other Pacific Islander alone,Worked from Home,502,381.539301370121,0.0279152532947784,0.02165016708153531
2019,Region,Some Other Race alone,Auto,4209,1732.3429315467533,0.6025769506084466,0.17442759063417776
2019,Region,Some Other Race alone,Bike or Walk,1013,1247.2341292110116,0.145025053686471,0.1573764954734199
2019,Region,Some Other Race alone,Other,260,288.9724730380906,0.03722261989978525,0.041697497575031654
2019,Region,Some Other Race alone,Transit,627,625.3565457111248,0.08976377952755905,0.08878741725410522
2019,Region,Some Other Race alone,Worked from Home,876,674.4563191777138,0.125411596277738,0.0972185242648374
2019,Region,Two or More Races,Auto,76417,6315.682307823716,0.7564466794032924,0.029427377898662514
2019,Region,Two or More Races,Bike or Walk,4486,1595.9109740192278,0.04440660852693994,0.015237840353649232
2019,Region,Two or More Races,Other,847,618.1261245894724,0.008384395323744569,0.006042647934489058
2019,Region,Two or More Races,Transit,13937,2733.6382126261697,0.13796141396343334,0.02191540986214247
2019,Region,Two or More Races,Worked from Home,5334,1580.5506785069406,0.05280090278258976,0.01524614476701735
2019,Region,White alone,Auto,1102317,15601.918914281348,0.7740653145719779,0.007079203782997203
2019,Region,White alone,Bike or Walk,70319,5098.41916025632,0.04937917028893405,0.003511839220464842
2019,Region,White alone,Other,9671,1957.8101069840125,0.006791136902747212,0.0013728997495062248
2019,Region,White alone,Transit,136608,7851.951015169813,0.09592840761146636,0.005577945478594134
2019,Region,White alone,Worked from Home,105147,6093.345607972991,0.07383597062487447,0.004271882147581457
2021,Region,American Indian or Alaskan Native Alone,Auto,5516,1229.1374613717946,0.6437908496732027,0.08263054252603073
2021,Region,American Indian or Alaskan Native Alone,Bike or Walk,892,575.9460741130632,0.10410830999066294,0.06180236925110615
2021,Region,American Indian or Alaskan Native Alone,Other,267,268.86265682500425,0.031162464985994398,0.031048624361771908
2021,Region,American Indian or Alaskan Native Alone,Transit,135,179.98660585582473,0.015756302521008403,0.019827253551003357
2021,Region,American Indian or Alaskan Native Alone,Worked from Home,1758,764.800818952229,0.20518207282913165,0.07608019148572986
2021,Region,Asian alone,Auto,179662,7422.05534535928,0.5216939329000935,0.0175982563395356
2021,Region,Asian alone,Bike or Walk,12222,3139.8181189483334,0.03548965973831385,0.008865293656493283
2021,Region,Asian alone,Other,3451,1100.6247416172328,0.010020848941001562,0.0032090436884198107
2021,Region,Asian alone,Transit,14419,3079.3631752569804,0.0418692033846136,0.008721017683477252
2021,Region,Asian alone,Worked from Home,134628,6302.444084886434,0.3909263550359775,0.017602639859962205
2021,Region,Black or African American alone,Auto,75629,5791.128053661048,0.6787496410109133,0.03723895771521006
2021,Region,Black or African American alone,Bike or Walk,3712,1568.3023575864604,0.03331418724870764,0.013890980699442033
2021,Region,Black or African American alone,Other,1563,828.9396408967302,0.014027498564043653,0.007450807752849758
2021,Region,Black or African American alone,Transit,7617,2042.4647844702856,0.06836049684089604,0.018111722641799586
2021,Region,Black or African American alone,Worked from Home,22903,3771.4225696583976,0.2055481763354394,0.033532306569459165
2021,Region,Hispanic or Latino,Auto,160877,6847.332239971546,0.7264545844528234,0.023073617736651324
2021,Region,Hispanic or Latino,Bike or Walk,7615,1784.3025791885045,0.03438621841909192,0.007980334805665531
2021,Region,Hispanic or Latino,Other,1242,815.0367439516148,0.005608362872818406,0.0036812454256430404
2021,Region,Hispanic or Latino,Transit,7979,2283.478325386788,0.03602989320629473,0.010314548061495444
2021,Region,Hispanic or Latino,Worked from Home,43742,4434.583619522384,0.19752094104897158,0.01946978877441613
2021,Region,Native Hawaiian and Other Pacific Islander alone,Auto,13911,1664.7628786718396,0.8327945402298851,0.05389881722783158
2021,Region,Native Hawaiian and Other Pacific Islander alone,Bike or Walk,178,224.11064882385665,0.010656130268199233,0.013051925127807491
2021,Region,Native Hawaiian and Other Pacific Islander alone,Other,305,378.1047797717585,0.01825909961685824,0.02258486747710378
2021,Region,Native Hawaiian and Other Pacific Islander alone,Transit,628,495.7325612704395,0.037595785440613025,0.029159187683543263
2021,Region,Native Hawaiian and Other Pacific Islander alone,Worked from Home,1682,798.0968874351973,0.10069444444444445,0.04674195541350873
2021,Region,Some Other Race alone,Auto,7880,2115.919481117193,0.6351253324736036,0.11075332657128156
2021,Region,Some Other Race alone,Bike or Walk,99,161.42597140407736,0.007979366486660757,0.012844947023622615
2021,Region,Some Other Race alone,Other,691,607.9402354857754,0.05569436608366245,0.04587545324131713
2021,Region,Some Other Race alone,Transit,147,179.27179509058308,0.011848150237769,0.014569901362517968
2021,Region,Some Other Race alone,Worked from Home,3590,1149.2619175051004,0.28935278471830417,0.09004266280502761
2021,Region,Two or More Races,Auto,83288,5430.589981426857,0.6013921381740461,0.024279909618502755
2021,Region,Two or More Races,Bike or Walk,7400,1610.28280348554,0.05343268925280883,0.011341628530113852
2021,Region,Two or More Races,Other,1911,955.6240947621612,0.013798630967853739,0.0069338899417702524
2021,Region,Two or More Races,Transit,5438,1523.3427886226889,0.039265805967131674,0.01050805733150251
2021,Region,Two or More Races,Worked from Home,40455,4146.8882783258405,0.2921107356381596,0.02402553638824895
2021,Region,White alone,Auto,829431,15568.488148294178,0.6303840760627929,0.009318779241139654
2021,Region,White alone,Bike or Walk,44853,5385.817939454624,0.03408917313633617,0.00402060552389816
2021,Region,White alone,Other,10188,2241.9345556954268,0.007743082868771162,0.0017297476645302754
2021,Region,White alone,Transit,27538,3706.060600719617,0.020929428351022798,0.0028006385289615766
2021,Region,White alone,Worked from Home,403745,12988.355742952272,0.30685423958107705,0.009154299050827808
