date,county,variable,estimate,metric
2017-01-31T08:00:00Z,King,Battery Electric,8812,total
2017-01-31T08:00:00Z,King,Plug-In Hybrid,3624,total
2017-01-31T08:00:00Z,King,Total Electric Vehicles,12436,total
2017-01-31T08:00:00Z,King,Internal Combustion,1578581,total
2017-01-31T08:00:00Z,King,Total Vehicles,1591017,total
2017-01-31T08:00:00Z,King,Battery Electric Share,0.005538595753533746,share
2017-01-31T08:00:00Z,King,Plug-In Hybrid Share,0.0022777883580125165,share
2017-01-31T08:00:00Z,King,Total Electric Vehicle Share,0.007816384111546263,share
2017-01-31T08:00:00Z,King,Internal Combustion Share,0.9921836158884537,share
2017-01-31T08:00:00Z,Kitsap,Battery Electric,557,total
2017-01-31T08:00:00Z,Kitsap,Plug-In Hybrid,262,total
2017-01-31T08:00:00Z,Kitsap,Total Electric Vehicles,819,total
2017-01-31T08:00:00Z,Kitsap,Internal Combustion,224780,total
2017-01-31T08:00:00Z,Kitsap,Total Vehicles,225599,total
2017-01-31T08:00:00Z,Kitsap,Battery Electric Share,0.002468982575277373,share
2017-01-31T08:00:00Z,Kitsap,Plug-In Hybrid Share,0.0011613526655703261,share
2017-01-31T08:00:00Z,Kitsap,Total Electric Vehicle Share,0.0036303352408476987,share
2017-01-31T08:00:00Z,Kitsap,Internal Combustion Share,0.9963696647591523,share
2017-01-31T08:00:00Z,Pierce,Battery Electric,822,total
2017-01-31T08:00:00Z,Pierce,Plug-In Hybrid,751,total
2017-01-31T08:00:00Z,Pierce,Total Electric Vehicles,1573,total
2017-01-31T08:00:00Z,Pierce,Internal Combustion,667148,total
2017-01-31T08:00:00Z,Pierce,Total Vehicles,668721,total
2017-01-31T08:00:00Z,Pierce,Battery Electric Share,0.0012292121826591358,share
2017-01-31T08:00:00Z,Pierce,Plug-In Hybrid Share,0.0011230393542299405,share
2017-01-31T08:00:00Z,Pierce,Total Electric Vehicle Share,0.0023522515368890762,share
2017-01-31T08:00:00Z,Pierce,Internal Combustion Share,0.9976477484631109,share
2017-01-31T08:00:00Z,Snohomish,Battery Electric,1549,total
2017-01-31T08:00:00Z,Snohomish,Plug-In Hybrid,804,total
2017-01-31T08:00:00Z,Snohomish,Total Electric Vehicles,2353,total
2017-01-31T08:00:00Z,Snohomish,Internal Combustion,637822,total
2017-01-31T08:00:00Z,Snohomish,Total Vehicles,640175,total
2017-01-31T08:00:00Z,Snohomish,Battery Electric Share,0.0024196508767133987,share
2017-01-31T08:00:00Z,Snohomish,Plug-In Hybrid Share,0.0012559065880423323,share
2017-01-31T08:00:00Z,Snohomish,Total Electric Vehicle Share,0.0036755574647557307,share
2017-01-31T08:00:00Z,Snohomish,Internal Combustion Share,0.9963244425352442,share
2017-02-28T08:00:00Z,King,Battery Electric,9106,total
2017-02-28T08:00:00Z,King,Plug-In Hybrid,3716,total
2017-02-28T08:00:00Z,King,Total Electric Vehicles,12822,total
2017-02-28T08:00:00Z,King,Internal Combustion,1575877,total
2017-02-28T08:00:00Z,King,Total Vehicles,1588699,total
2017-02-28T08:00:00Z,King,Battery Electric Share,0.005731733953379463,share
2017-02-28T08:00:00Z,King,Plug-In Hybrid Share,0.002339020796261595,share
2017-02-28T08:00:00Z,King,Total Electric Vehicle Share,0.008070754749641059,share
2017-02-28T08:00:00Z,King,Internal Combustion Share,0.991929245250359,share
2017-02-28T08:00:00Z,Kitsap,Battery Electric,562,total
2017-02-28T08:00:00Z,Kitsap,Plug-In Hybrid,280,total
2017-02-28T08:00:00Z,Kitsap,Total Electric Vehicles,842,total
2017-02-28T08:00:00Z,Kitsap,Internal Combustion,224458,total
2017-02-28T08:00:00Z,Kitsap,Total Vehicles,225300,total
2017-02-28T08:00:00Z,Kitsap,Battery Electric Share,0.00249445184198846,share
2017-02-28T08:00:00Z,Kitsap,Plug-In Hybrid Share,0.0012427873945849977,share
2017-02-28T08:00:00Z,Kitsap,Total Electric Vehicle Share,0.0037372392365734577,share
2017-02-28T08:00:00Z,Kitsap,Internal Combustion Share,0.9962627607634266,share
2017-02-28T08:00:00Z,Pierce,Battery Electric,862,total
2017-02-28T08:00:00Z,Pierce,Plug-In Hybrid,778,total
2017-02-28T08:00:00Z,Pierce,Total Electric Vehicles,1640,total
2017-02-28T08:00:00Z,Pierce,Internal Combustion,665392,total
2017-02-28T08:00:00Z,Pierce,Total Vehicles,667032,total
2017-02-28T08:00:00Z,Pierce,Battery Electric Share,0.0012922918240804038,share
2017-02-28T08:00:00Z,Pierce,Plug-In Hybrid Share,0.001166360834262824,share
2017-02-28T08:00:00Z,Pierce,Total Electric Vehicle Share,0.002458652658343228,share
2017-02-28T08:00:00Z,Pierce,Internal Combustion Share,0.9975413473416568,share
2017-02-28T08:00:00Z,Snohomish,Battery Electric,1604,total
2017-02-28T08:00:00Z,Snohomish,Plug-In Hybrid,825,total
2017-02-28T08:00:00Z,Snohomish,Total Electric Vehicles,2429,total
2017-02-28T08:00:00Z,Snohomish,Internal Combustion,636604,total
2017-02-28T08:00:00Z,Snohomish,Total Vehicles,639033,total
2017-02-28T08:00:00Z,Snohomish,Battery Electric Share,0.002510042517366083,share
2017-02-28T08:00:00Z,Snohomish,Plug-In Hybrid Share,0.0012910131401664704,share
2017-02-28T08:00:00Z,Snohomish,Total Electric Vehicle Share,0.003801055657532553,share
2017-02-28T08:00:00Z,Snohomish,Internal Combustion Share,0.9961989443424675,share
2017-03-31T07:00:00Z,King,Battery Electric,9325,total
2017-03-31T07:00:00Z,King,Plug-In Hybrid,3790,total
2017-03-31T07:00:00Z,King,Total Electric Vehicles,13115,total
2017-03-31T07:00:00Z,King,Internal Combustion,1572618,total
2017-03-31T07:00:00Z,King,Total Vehicles,1585733,total
2017-03-31T07:00:00Z,King,Battery Electric Share,0.005880561229412518,share
2017-03-31T07:00:00Z,King,Plug-In Hybrid Share,0.002390061883053452,share
2017-03-31T07:00:00Z,King,Total Electric Vehicle Share,0.00827062311246597,share
2017-03-31T07:00:00Z,King,Internal Combustion Share,0.991729376887534,share
2017-03-31T07:00:00Z,Kitsap,Battery Electric,573,total
2017-03-31T07:00:00Z,Kitsap,Plug-In Hybrid,289,total
2017-03-31T07:00:00Z,Kitsap,Total Electric Vehicles,862,total
2017-03-31T07:00:00Z,Kitsap,Internal Combustion,224798,total
2017-03-31T07:00:00Z,Kitsap,Total Vehicles,225660,total
2017-03-31T07:00:00Z,Kitsap,Battery Electric Share,0.002539218293007179,share
2017-03-31T07:00:00Z,Kitsap,Plug-In Hybrid Share,0.0012806877603474254,share
2017-03-31T07:00:00Z,Kitsap,Total Electric Vehicle Share,0.0038199060533546042,share
2017-03-31T07:00:00Z,Kitsap,Internal Combustion Share,0.9961800939466454,share
2017-03-31T07:00:00Z,Pierce,Battery Electric,876,total
2017-03-31T07:00:00Z,Pierce,Plug-In Hybrid,784,total
2017-03-31T07:00:00Z,Pierce,Total Electric Vehicles,1660,total
2017-03-31T07:00:00Z,Pierce,Internal Combustion,664611,total
2017-03-31T07:00:00Z,Pierce,Total Vehicles,666271,total
2017-03-31T07:00:00Z,Pierce,Battery Electric Share,0.0013147803221211789,share
2017-03-31T07:00:00Z,Pierce,Plug-In Hybrid Share,0.0011766983704828817,share
2017-03-31T07:00:00Z,Pierce,Total Electric Vehicle Share,0.0024914786926040606,share
2017-03-31T07:00:00Z,Pierce,Internal Combustion Share,0.997508521307396,share
2017-03-31T07:00:00Z,Snohomish,Battery Electric,1656,total
2017-03-31T07:00:00Z,Snohomish,Plug-In Hybrid,850,total
2017-03-31T07:00:00Z,Snohomish,Total Electric Vehicles,2506,total
2017-03-31T07:00:00Z,Snohomish,Internal Combustion,635622,total
2017-03-31T07:00:00Z,Snohomish,Total Vehicles,638128,total
2017-03-31T07:00:00Z,Snohomish,Battery Electric Share,0.002595090640122358,share
2017-03-31T07:00:00Z,Snohomish,Plug-In Hybrid Share,0.0013320211618985532,share
2017-03-31T07:00:00Z,Snohomish,Total Electric Vehicle Share,0.003927111802020911,share
2017-03-31T07:00:00Z,Snohomish,Internal Combustion Share,0.9960728881979791,share
2017-04-30T07:00:00Z,King,Battery Electric,9566,total
2017-04-30T07:00:00Z,King,Plug-In Hybrid,3885,total
2017-04-30T07:00:00Z,King,Total Electric Vehicles,13451,total
2017-04-30T07:00:00Z,King,Internal Combustion,1567609,total
2017-04-30T07:00:00Z,King,Total Vehicles,1581060,total
2017-04-30T07:00:00Z,King,Battery Electric Share,0.00605037126990753,share
2017-04-30T07:00:00Z,King,Plug-In Hybrid Share,0.0024572122500094874,share
2017-04-30T07:00:00Z,King,Total Electric Vehicle Share,0.008507583519917018,share
2017-04-30T07:00:00Z,King,Internal Combustion Share,0.991492416480083,share
2017-04-30T07:00:00Z,Kitsap,Battery Electric,585,total
2017-04-30T07:00:00Z,Kitsap,Plug-In Hybrid,298,total
2017-04-30T07:00:00Z,Kitsap,Total Electric Vehicles,883,total
2017-04-30T07:00:00Z,Kitsap,Internal Combustion,224988,total
2017-04-30T07:00:00Z,Kitsap,Total Vehicles,225871,total
2017-04-30T07:00:00Z,Kitsap,Battery Electric Share,0.0025899739231685344,share
2017-04-30T07:00:00Z,Kitsap,Plug-In Hybrid Share,0.0013193371437679028,share
2017-04-30T07:00:00Z,Kitsap,Total Electric Vehicle Share,0.003909311066936437,share
2017-04-30T07:00:00Z,Kitsap,Internal Combustion Share,0.9960906889330635,share
2017-04-30T07:00:00Z,Pierce,Battery Electric,917,total
2017-04-30T07:00:00Z,Pierce,Plug-In Hybrid,807,total
2017-04-30T07:00:00Z,Pierce,Total Electric Vehicles,1724,total
2017-04-30T07:00:00Z,Pierce,Internal Combustion,663636,total
2017-04-30T07:00:00Z,Pierce,Total Vehicles,665360,total
2017-04-30T07:00:00Z,Pierce,Battery Electric Share,0.001378201274498016,share
2017-04-30T07:00:00Z,Pierce,Plug-In Hybrid Share,0.001212877239389203,share
2017-04-30T07:00:00Z,Pierce,Total Electric Vehicle Share,0.002591078513887219,share
2017-04-30T07:00:00Z,Pierce,Internal Combustion Share,0.9974089214861128,share
2017-04-30T07:00:00Z,Snohomish,Battery Electric,1709,total
2017-04-30T07:00:00Z,Snohomish,Plug-In Hybrid,862,total
2017-04-30T07:00:00Z,Snohomish,Total Electric Vehicles,2571,total
2017-04-30T07:00:00Z,Snohomish,Internal Combustion,634806,total
2017-04-30T07:00:00Z,Snohomish,Total Vehicles,637377,total
2017-04-30T07:00:00Z,Snohomish,Battery Electric Share,0.0026813016472197774,share
2017-04-30T07:00:00Z,Snohomish,Plug-In Hybrid Share,0.0013524177998264764,share
2017-04-30T07:00:00Z,Snohomish,Total Electric Vehicle Share,0.004033719447046254,share
2017-04-30T07:00:00Z,Snohomish,Internal Combustion Share,0.9959662805529538,share
2017-05-31T07:00:00Z,King,Battery Electric,9805,total
2017-05-31T07:00:00Z,King,Plug-In Hybrid,3993,total
2017-05-31T07:00:00Z,King,Total Electric Vehicles,13798,total
2017-05-31T07:00:00Z,King,Internal Combustion,1565517,total
2017-05-31T07:00:00Z,King,Total Vehicles,1579315,total
2017-05-31T07:00:00Z,King,Battery Electric Share,0.006208387813704043,share
2017-05-31T07:00:00Z,King,Plug-In Hybrid Share,0.0025283113248465317,share
2017-05-31T07:00:00Z,King,Total Electric Vehicle Share,0.008736699138550574,share
2017-05-31T07:00:00Z,King,Internal Combustion Share,0.9912633008614494,share
2017-05-31T07:00:00Z,Kitsap,Battery Electric,596,total
2017-05-31T07:00:00Z,Kitsap,Plug-In Hybrid,302,total
2017-05-31T07:00:00Z,Kitsap,Total Electric Vehicles,898,total
2017-05-31T07:00:00Z,Kitsap,Internal Combustion,225224,total
2017-05-31T07:00:00Z,Kitsap,Total Vehicles,226122,total
2017-05-31T07:00:00Z,Kitsap,Battery Electric Share,0.0026357453056314734,share
2017-05-31T07:00:00Z,Kitsap,Plug-In Hybrid Share,0.001335562218625344,share
2017-05-31T07:00:00Z,Kitsap,Total Electric Vehicle Share,0.003971307524256817,share
2017-05-31T07:00:00Z,Kitsap,Internal Combustion Share,0.9960286924757432,share
2017-05-31T07:00:00Z,Pierce,Battery Electric,933,total
2017-05-31T07:00:00Z,Pierce,Plug-In Hybrid,823,total
2017-05-31T07:00:00Z,Pierce,Total Electric Vehicles,1756,total
2017-05-31T07:00:00Z,Pierce,Internal Combustion,662971,total
2017-05-31T07:00:00Z,Pierce,Total Vehicles,664727,total
2017-05-31T07:00:00Z,Pierce,Battery Electric Share,0.0014035837268532795,share
2017-05-31T07:00:00Z,Pierce,Plug-In Hybrid Share,0.0012381022585211674,share
2017-05-31T07:00:00Z,Pierce,Total Electric Vehicle Share,0.002641685985374447,share
