year,variable,metric,estimate,share
2018,VOLVO,Battery Electric Vehicle,1,1.3812154696132598e-4
2018,VOLVO,Hybrid Electric Vehicle,33,0.014824797843665768
2018,Z ELECTRIC VEHICLE CORPORATION,Battery Electric Vehicle,1,1.3812154696132598e-4
2018,ZERO MOTORCYCLES,Battery Electric Vehicle,38,0.005248618784530387
2019,ACURA,Hybrid Electric Vehicle,5,8.821453775582216e-4
2019,ALTA,Battery Electric Vehicle,6,6.422607578676942e-4
2019,ARCIMOTO,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,AUDI,Battery Electric Vehicle,174,0.018625561978163133
2019,AZURE DYNAMICS,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,BMW,Battery Electric Vehicle,81,0.008670520231213872
2019,BMW,Hybrid Electric Vehicle,48,0.008468595624558928
2019,CADILLAC,Hybrid Electric Vehicle,1,1.7642907551164433e-4
2019,CAKE,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,CHEVROLET,Battery Electric Vehicle,666,0.07129094412331406
2019,CHEVROLET,Hybrid Electric Vehicle,24,0.004234297812279464
2019,"CHONGQING ZONGSHEN AUTOMOTIVE INDUSTRY CO., LTD.",Battery Electric Vehicle,6,6.422607578676942e-4
2019,COLUMBIA,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,CORBIN MOTORS,Battery Electric Vehicle,2,2.1408691928923143e-4
2019,ELECTRA MECCANICA VEHICLES CORP.,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,ENERGICA,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,FIAT,Battery Electric Vehicle,129,0.013808606294155427
2019,FIRST UNITED INDUSTRIAL FOSHAN,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,FORD,Battery Electric Vehicle,29,0.0031042603296938557
2019,FORD,Hybrid Electric Vehicle,58,0.010232886379675371
2019,GEM,Battery Electric Vehicle,2,2.1408691928923143e-4
2019,GENZE,Battery Electric Vehicle,2,2.1408691928923143e-4
2019,GMC,Battery Electric Vehicle,7,7.4930421751231e-4
2019,GMC,Hybrid Electric Vehicle,9,0.001587861679604799
2019,HARLEY DAVIDSON,Battery Electric Vehicle,7,7.4930421751231e-4
2019,HONDA,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,HONDA,Hybrid Electric Vehicle,186,0.032815808045165845
2019,HYUNDAI,Battery Electric Vehicle,21,0.00224791265253693
2019,HYUNDAI,Hybrid Electric Vehicle,44,0.0077628793225123505
