year,variable,metric,estimate,share
2023,TOYOTA,Hybrid Electric Vehicle,3355,0.5150445194964691
2023,UBCO,Battery Electric Vehicle,2,1.9489378288832586e-4
2023,VANTAGE VEHICLE INTERNATIONAL,Battery Electric Vehicle,1,9.744689144416293e-5
2023,VOLKSWAGEN,Battery Electric Vehicle,514,0.050087702202299744
2023,VOLKSWAGEN,Hybrid Electric Vehicle,1,1.5351550506601167e-4
2023,VOLVO,Battery Electric Vehicle,201,0.01958682518027675
2023,VOLVO,Hybrid Electric Vehicle,328,0.05035308566165183
2023,ZERO MOTORCYCLES,Battery Electric Vehicle,5,4.8723445722081467e-4
2023,"ZHEJIANG GEELY MING INDUSTRIAL CO., LTD / SONDORS",Battery Electric Vehicle,9,8.770220229974664e-4
2023,ZIGGY,Battery Electric Vehicle,1,9.744689144416293e-5
