geography,variable,concept,date,estimate
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-01-01,58036
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-02-01,105710
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-03-01,98779
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-04-01,147335
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-05-01,179933
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-06-01,206237
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-07-01,325510
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-08-01,326449
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-09-01,149678
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-10-01,118920
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-11-01,143108
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-12-01,189092
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-01-01,98012
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-02-01,105198
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-03-01,143317
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-04-01,135946
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-05-01,171561
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-06-01,201588
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-07-01,312076
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-08-01,324639
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-09-01,158610
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-10-01,121710
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-11-01,147505
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-12-01,182271
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-01-01,87670
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-02-01,107884
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-03-01,156925
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-04-01,146061
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-05-01,167062
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-06-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-07-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-08-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-09-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-10-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-11-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-12-01,99291
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-01-01,55347
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-02-01,76407
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-03-01,103044
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-04-01,89525
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-05-01,127797
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-06-01,175781
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-07-01,274537
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-08-01,261729
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-09-01,144089
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-10-01,104393
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-11-01,91591
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-12-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-01-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-02-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-03-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-04-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-05-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-06-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-07-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-08-01,61669
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-09-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-10-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-11-01,65374
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-12-01,112683
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-01-01,49234
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-02-01,58853
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-03-01,98076
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-04-01,106024
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-05-01,122238
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-06-01,171744
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-07-01,246683
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-08-01,231222
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-09-01,147678
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-10-01,100355
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-11-01,112821
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-12-01,144137
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-01-01,55267
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-02-01,71880
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-03-01,117782
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-04-01,105766
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-05-01,154122
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-06-01,187744
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-07-01,246026
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-08-01,200199
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-09-01,139606
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-10-01,101792
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-11-01,91452
