geography,variable,concept,date,estimate
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-12-01,88142
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-01-01,58578
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-02-01,69977
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-03-01,99071
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-04-01,109959
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-05-01,160313
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-06-01,197517
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-07-01,285951
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-08-01,274213
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-09-01,161612
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-10-01,94074
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-11-01,83939
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-12-01,137097
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-01-01,64840
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-02-01,80890
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-03-01,102191
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-04-01,105626
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-05-01,152175
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-06-01,196230
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-07-01,301316
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-08-01,260586
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-09-01,158250
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-10-01,110005
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-11-01,102800
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-12-01,154228
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-01-01,75586
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-02-01,69113
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-03-01,114164
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-04-01,132462
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-05-01,158973
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-06-01,212984
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-07-01,312670
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-08-01,276874
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-09-01,169251
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-10-01,109933
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-11-01,93950
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-12-01,164907
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-01-01,61310
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-02-01,73150
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-03-01,123348
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-04-01,139638
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-05-01,169968
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-06-01,252368
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-07-01,336698
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-08-01,307767
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-09-01,196295
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-10-01,133012
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-11-01,125458
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2012-12-01,187834
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-01-01,82388
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-02-01,85450
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-03-01,150994
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-04-01,122664
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-05-01,171521
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-06-01,241070
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-07-01,338087
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-08-01,309152
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-09-01,169066
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-10-01,124377
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-11-01,112858
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2013-12-01,185046
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-01-01,87868
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-02-01,93478
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-03-01,139253
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-04-01,138275
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-05-01,181242
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-06-01,248155
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-07-01,335111
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-08-01,328621
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-09-01,177672
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-10-01,131411
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-11-01,124482
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2014-12-01,177056
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-01-01,89929
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-02-01,101816
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-03-01,159582
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-04-01,152953
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-05-01,209113
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-06-01,263124
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-07-01,368874
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-08-01,320914
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-09-01,192437
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-10-01,138437
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-11-01,119829
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2015-12-01,175945
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-01-01,92799
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-02-01,93117
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-03-01,155396
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-04-01,151959
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-05-01,189284
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-06-01,260751
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-07-01,368513
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-08-01,303795
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-09-01,196157
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-10-01,133750
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-11-01,117499
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2016-12-01,180309
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-01-01,93952
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-02-01,82678
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-03-01,145130
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-04-01,163631
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-05-01,178860
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-06-01,245350
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-07-01,356952
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-08-01,292785
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-09-01,183906
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-10-01,125105
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-11-01,101404
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2017-12-01,159726
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-01-01,73078
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-02-01,74105
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-03-01,138848
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-04-01,119510
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-05-01,170117
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-06-01,239039
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-07-01,326361
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-08-01,293139
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-09-01,180115
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-10-01,132194
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-11-01,112184
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2018-12-01,163090
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-01-01,91050
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-02-01,71210
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-03-01,134527
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-04-01,128566
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-05-01,164070
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-06-01,228190
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-07-01,297954
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-08-01,260634
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-09-01,159123
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-10-01,128172
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-11-01,117514
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2019-12-01,158214
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-01-01,91627
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-02-01,94426
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-03-01,25150
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-04-01,0
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-05-01,106
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-06-01,3938
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-07-01,9775
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-08-01,14929
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-09-01,15128
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-10-01,18112
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-11-01,11834
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2020-12-01,13324
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-01-01,11537
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-02-01,10552
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-03-01,29457
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-04-01,17667
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-05-01,39878
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-06-01,67836
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-07-01,104052
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-08-01,85529
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-09-01,17080
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-10-01,69557
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-11-01,105104
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2021-12-01,108623
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-01-01,73709
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-02-01,70381
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-03-01,107580
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-04-01,127574
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-05-01,120707
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-06-01,165594
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-07-01,221422
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-08-01,191828
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-09-01,148534
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-10-01,151183
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-11-01,116838
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2022-12-01,138601
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2023-01-01,113195
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2023-02-01,96833
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2023-03-01,154558
City of Seattle,"Light Rail, Streetcar & Monorail",Transit Boardings,2023-04-01,169063
Community Transit,Bus,Transit Boardings,2002-01-01,661053
Community Transit,Bus,Transit Boardings,2002-02-01,629629
Community Transit,Bus,Transit Boardings,2002-03-01,658422
Community Transit,Bus,Transit Boardings,2002-04-01,707588
Community Transit,Bus,Transit Boardings,2002-05-01,709238
Community Transit,Bus,Transit Boardings,2002-06-01,635741
Community Transit,Bus,Transit Boardings,2002-07-01,648154
Community Transit,Bus,Transit Boardings,2002-08-01,652412
Community Transit,Bus,Transit Boardings,2002-09-01,623906
Community Transit,Bus,Transit Boardings,2002-10-01,754863
Community Transit,Bus,Transit Boardings,2002-11-01,640296
Community Transit,Bus,Transit Boardings,2002-12-01,620817
Community Transit,Bus,Transit Boardings,2003-01-01,708346
Community Transit,Bus,Transit Boardings,2003-02-01,602609
Community Transit,Bus,Transit Boardings,2003-03-01,649213
Community Transit,Bus,Transit Boardings,2003-04-01,678117
Community Transit,Bus,Transit Boardings,2003-05-01,657122
Community Transit,Bus,Transit Boardings,2003-06-01,691738
Community Transit,Bus,Transit Boardings,2003-07-01,640735
Community Transit,Bus,Transit Boardings,2003-08-01,611110
Community Transit,Bus,Transit Boardings,2003-09-01,645304
Community Transit,Bus,Transit Boardings,2003-10-01,762969
Community Transit,Bus,Transit Boardings,2003-11-01,632863
Community Transit,Bus,Transit Boardings,2003-12-01,643091
Community Transit,Bus,Transit Boardings,2004-01-01,643361
Community Transit,Bus,Transit Boardings,2004-02-01,647021
Community Transit,Bus,Transit Boardings,2004-03-01,756105
Community Transit,Bus,Transit Boardings,2004-04-01,769929
Community Transit,Bus,Transit Boardings,2004-05-01,737652
Community Transit,Bus,Transit Boardings,2004-06-01,766287
Community Transit,Bus,Transit Boardings,2004-07-01,669690
Community Transit,Bus,Transit Boardings,2004-08-01,724695
Community Transit,Bus,Transit Boardings,2004-09-01,718897
Community Transit,Bus,Transit Boardings,2004-10-01,792784
Community Transit,Bus,Transit Boardings,2004-11-01,733294
Community Transit,Bus,Transit Boardings,2004-12-01,708325
Community Transit,Bus,Transit Boardings,2005-01-01,610349
Community Transit,Bus,Transit Boardings,2005-02-01,589857
Community Transit,Bus,Transit Boardings,2005-03-01,671554
Community Transit,Bus,Transit Boardings,2005-04-01,647063
Community Transit,Bus,Transit Boardings,2005-05-01,660715
Community Transit,Bus,Transit Boardings,2005-06-01,685102
Community Transit,Bus,Transit Boardings,2005-07-01,599293
Community Transit,Bus,Transit Boardings,2005-08-01,668429
Community Transit,Bus,Transit Boardings,2005-09-01,660141
Community Transit,Bus,Transit Boardings,2005-10-01,738687
Community Transit,Bus,Transit Boardings,2005-11-01,660140
Community Transit,Bus,Transit Boardings,2005-12-01,661640
Community Transit,Bus,Transit Boardings,2006-01-01,739653
Community Transit,Bus,Transit Boardings,2006-02-01,654248
Community Transit,Bus,Transit Boardings,2006-03-01,729712
Community Transit,Bus,Transit Boardings,2006-04-01,681433
Community Transit,Bus,Transit Boardings,2006-05-01,759413
Community Transit,Bus,Transit Boardings,2006-06-01,733102
Community Transit,Bus,Transit Boardings,2006-07-01,659087
Community Transit,Bus,Transit Boardings,2006-08-01,730496
Community Transit,Bus,Transit Boardings,2006-09-01,682773
Community Transit,Bus,Transit Boardings,2006-10-01,783962
Community Transit,Bus,Transit Boardings,2006-11-01,659330
Community Transit,Bus,Transit Boardings,2006-12-01,621266
Community Transit,Bus,Transit Boardings,2007-01-01,741956
Community Transit,Bus,Transit Boardings,2007-02-01,687789
Community Transit,Bus,Transit Boardings,2007-03-01,744727
Community Transit,Bus,Transit Boardings,2007-04-01,770959
Community Transit,Bus,Transit Boardings,2007-05-01,835154
Community Transit,Bus,Transit Boardings,2007-06-01,752359
Community Transit,Bus,Transit Boardings,2007-07-01,724629
Community Transit,Bus,Transit Boardings,2007-08-01,768230
Community Transit,Bus,Transit Boardings,2007-09-01,706900
Community Transit,Bus,Transit Boardings,2007-10-01,877863
Community Transit,Bus,Transit Boardings,2007-11-01,778601
Community Transit,Bus,Transit Boardings,2007-12-01,708623
Community Transit,Bus,Transit Boardings,2008-01-01,800684
Community Transit,Bus,Transit Boardings,2008-02-01,799360
Community Transit,Bus,Transit Boardings,2008-03-01,808291
Community Transit,Bus,Transit Boardings,2008-04-01,872407
Community Transit,Bus,Transit Boardings,2008-05-01,894784
Community Transit,Bus,Transit Boardings,2008-06-01,878417
Community Transit,Bus,Transit Boardings,2008-07-01,908295
Community Transit,Bus,Transit Boardings,2008-08-01,861375
Community Transit,Bus,Transit Boardings,2008-09-01,885855
Community Transit,Bus,Transit Boardings,2008-10-01,1008779
Community Transit,Bus,Transit Boardings,2008-11-01,806221
Community Transit,Bus,Transit Boardings,2008-12-01,712835
Community Transit,Bus,Transit Boardings,2009-01-01,850775
Community Transit,Bus,Transit Boardings,2009-02-01,801354
Community Transit,Bus,Transit Boardings,2009-03-01,827896
Community Transit,Bus,Transit Boardings,2009-04-01,863509
Community Transit,Bus,Transit Boardings,2009-05-01,818509
Community Transit,Bus,Transit Boardings,2009-06-01,840374
Community Transit,Bus,Transit Boardings,2009-07-01,792333
Community Transit,Bus,Transit Boardings,2009-08-01,771119
Community Transit,Bus,Transit Boardings,2009-09-01,782008
Community Transit,Bus,Transit Boardings,2009-10-01,866595
Community Transit,Bus,Transit Boardings,2009-11-01,741193
Community Transit,Bus,Transit Boardings,2009-12-01,737714
Community Transit,Bus,Transit Boardings,2010-01-01,759474
Community Transit,Bus,Transit Boardings,2010-02-01,739391
Community Transit,Bus,Transit Boardings,2010-03-01,818335
Community Transit,Bus,Transit Boardings,2010-04-01,814202
Community Transit,Bus,Transit Boardings,2010-05-01,772484
Community Transit,Bus,Transit Boardings,2010-06-01,716958
Community Transit,Bus,Transit Boardings,2010-07-01,656914
Community Transit,Bus,Transit Boardings,2010-08-01,661439
Community Transit,Bus,Transit Boardings,2010-09-01,664193
Community Transit,Bus,Transit Boardings,2010-10-01,751821
