date,variable,geography,estimate,share
2020-01-01,Internal Combustion Engine,Snohomish,4187,0.9281755708268676
2021-01-01,Battery Electric Vehicle,King,1259,0.10249938939998372
2021-01-01,Battery Electric Vehicle,Kitsap,64,0.04529370134465676
2021-01-01,Battery Electric Vehicle,Pierce,151,0.032271852960034195
2021-01-01,Battery Electric Vehicle,Snohomish,208,0.052912744848639025
2021-01-01,Hybrid Electric Vehicle,King,608,0.049499307986648214
2021-01-01,Hybrid Electric Vehicle,Kitsap,66,0.04670912951167728
2021-01-01,Hybrid Electric Vehicle,Pierce,172,0.03675999145116478
2021-01-01,Hybrid Electric Vehicle,Snohomish,144,0.03663190027982702
2021-01-01,Internal Combustion Engine,King,10416,0.848001302613368
2021-01-01,Internal Combustion Engine,Kitsap,1283,0.9079971691436659
2021-01-01,Internal Combustion Engine,Pierce,4356,0.930968155588801
2021-01-01,Internal Combustion Engine,Snohomish,3579,0.910455354871534
2022-01-01,Battery Electric Vehicle,King,1004,0.09328254204218155
2022-01-01,Battery Electric Vehicle,Kitsap,56,0.04129793510324484
2022-01-01,Battery Electric Vehicle,Pierce,140,0.03332539871459177
2022-01-01,Battery Electric Vehicle,Snohomish,200,0.051559680329981955
2022-01-01,Hybrid Electric Vehicle,King,1022,0.094954938214252535
2022-01-01,Hybrid Electric Vehicle,Kitsap,109,0.0803834808259587
2022-01-01,Hybrid Electric Vehicle,Pierce,251,0.05974767912401809
2022-01-01,Hybrid Electric Vehicle,Snohomish,315,0.08120649651972157
2022-01-01,Internal Combustion Engine,King,8737,0.811762519743566
2022-01-01,Internal Combustion Engine,Kitsap,1191,0.8783185840707964
2022-01-01,Internal Combustion Engine,Pierce,3810,0.9069269221613901
2022-01-01,Internal Combustion Engine,Snohomish,3364,0.8672338231502965
2023-01-01,Battery Electric Vehicle,King,2013,0.1741500129769011
2023-01-01,Battery Electric Vehicle,Kitsap,98,0.07890499194847021
2023-01-01,Battery Electric Vehicle,Pierce,265,0.06299025433800808
2023-01-01,Battery Electric Vehicle,Snohomish,450,0.11207970112079702
2023-01-01,Hybrid Electric Vehicle,King,1030,0.08910805432995934
2023-01-01,Hybrid Electric Vehicle,Kitsap,71,0.0571658615136876
2023-01-01,Hybrid Electric Vehicle,Pierce,339,0.08057998573805562
2023-01-01,Hybrid Electric Vehicle,Snohomish,317,0.07895392278953922
2023-01-01,Internal Combustion Engine,King,8516,0.7367419326931396
2023-01-01,Internal Combustion Engine,Kitsap,1073,0.8639291465378421
2023-01-01,Internal Combustion Engine,Pierce,3603,0.8564297599239363
2023-01-01,Internal Combustion Engine,Snohomish,3248,0.8089663760896637
