variable,estimate,year,month,data_day,equiv_day,geography,concept
Domestic Passengers - IN,1590168,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1565755,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,3155923,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,210107,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,194246,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,404353,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1800275,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1760001,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,3560276,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,13555,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,10547,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,24102,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,4528,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,5394,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,9922,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,18083,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,15940,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,34023,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
