variable,estimate,year,month,data_day,equiv_day,geography,concept
Air Mail Grand Total,0,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,18083,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,15940,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,34023,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,34378,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,366,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,179,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Military,4,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,34927,2019,01,2019-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1415405,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1421027,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,2836432,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,178396,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,177828,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,356224,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1593801,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1598855,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,3192656,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,11681,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,8834,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,20515,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,4224,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,4335,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,8559,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,15905,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,13169,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,29074,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,15905,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,13169,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,29074,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,29610,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,309,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,109,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Military,7,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,30035,2019,02,2019-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1825794,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1839405,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,3665199,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,220490,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,226040,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,446530,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,2046284,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,2065445,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,4111729,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,13815,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,10622,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,24437,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5420,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,5524,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,10944,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,19235,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,16146,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,35381,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,19235,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,16146,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,35381,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,35241,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,363,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,169,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Military,5,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,35778,2019,03,2019-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1806838,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1760203,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,3567041,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,241882,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,224593,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,466475,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,2048720,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1984796,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,4033516,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,13369,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,11281,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,24650,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5293,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,4630,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,9923,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,18662,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,15911,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,34573,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,18662,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,15911,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,34573,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,34910,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,342,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,153,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Military,2,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,35407,2019,04,2019-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,2047660,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1965185,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,4012845,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,235303,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,251600,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,486903,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,2282963,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,2216785,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,4499748,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,14554,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,11846,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,26400,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5318,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,4515,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,9833,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,19873,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,16361,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,36234,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,19873,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,16361,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,36234,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,37793,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,343,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,242,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Military,16,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,38394,2019,05,2019-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,2197442,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,2180943,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,4378385,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,255870,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,272253,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,528123,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,2453312,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,2453196,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,4906508,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,13391,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,11766,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,25157,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,6215,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,9446,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,15661,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,19606,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,21212,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,40818,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,19606,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,21212,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,40818,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,39538,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,393,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,274,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Military,3,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,40208,2019,06,2019-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,2356994,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,2347632,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,4704626,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,300125,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,274448,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,574573,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,2657119,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,2622080,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,5279199,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,13538,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,12367,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,25905,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,6618,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,15171,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,21789,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,20156,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,27538,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,47694,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,20156,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,27538,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,47694,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,42011,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,457,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,285,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Military,10,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,42763,2019,07,2019-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,2325808,2019,08,2019-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,2366946,2019,08,2019-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,4692754,2019,08,2019-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,299103,2019,08,2019-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,288309,2019,08,2019-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,587412,2019,08,2019-08-01,2023-08-01,Seattle-Tacoma International Airport,Airport Operations
